M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Σ
1,PGR,AZS Politechnika Gdańska,2,1,,,,,3,,,1,,2,6,2,5,,,,15
2,REW,Baltic Trans Yacht Club Rewa,,,4,,1,,2,1,3,,,,5,,,5,,3,16
3,MOS,SailingEvent MOS Iława,,4,,2,,1,,2,,6,,,3,,2,,5,,18
4,GKZ,Procad GKŻ Gdańsk,,,,3,4,,5,,1,3,2,,,,,,4,2,18
5,SZT,Sztorm Grupa Warszawa,,,,,,5,,7 (OCS),2,2,4,,1,,,,,,21
6,JKKP,Jacht Klub Kamień Pomorski,4,3,,1,,,6,7 (OCS),,,1,,,4,3,,3,,22
7,JKW,HRM Racing JKW Poznań,,5,1,4,,3,4,,,,,5,,,4,3,1,,22
8,AWK,AWF Katowice,,6,3,,3,6,,,,,3,,2,,6,1,,4,23
9,JKM,Windward Jacht Klub Gryf Gdynia,1,,,5,2,,,,6,,,6,4,6,,,2,1,24
10,TZR,DTP PMT TŻR Szczecin,3,,2,,5,,,7 (OCS),,4,,3,,1,,7 (OCS),,6,24
11,YCS,Yacht Club Sopot,6,,,,7 (OCS),2,1,,,,5,4,,3,,,,5,25
12,RMR,MBSW Rainmaker Giżycko,,2,5,,,,,7 (OCS),5,,6,1,,,1,2,,,26
13,DZY,PŻKS DŻYGIT Białystok,5,,7 (DSQ),6,,4,,,4,5,,,,5,,4,6,,31
