M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,Σ
1, MOS,MOS Ilawa,1,1,1,1,2,2,3,11
2, JKKP,Jacht Klub Kamien Pomorski,3,1,3,2,1,2,1,13
3, YCS,Yacht Club Sopot,2,3,4,3,1,1,2,16
4, TZR,PMT TZR Szczecin,1,6,2,2,7 (DNF),3,1,22
5, LEGIA,Legia Warszawa,2,6,1,4,3,4,2,22
6, YCG,Yacht Club Gdańsk,3,5,2,1,4,3,5,23
7, KPM,Klub Port Mechelinki,5,2,3,4,4,5,4,27
8, JKM,JKM Gryf Gdynia,4,4,5,6,5,1,6,31
9, YCS AWF,YC Sztag AWF Katowice,4,2,6,5,6,4,4,31
10, DZYGIT,PZKS DZYGIT,6,5,4,3,5,5,5,33
11, OKZ,Olsztynski Klub Zeglarski,6,3,7 (DSQ),7 (OCS),2,6,3,34
12, JKW,Jacht Klub Wielkopolski Poznań,5,4,5,5,3,6,6,34
