M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,Σ
1, POG,SEJK Pogon Szczecin,1,1,1,5,5,1,2,3,3,22
2, JEZ,Yacht Club Jeziorak,1,4,5,3,1,4,2,1,4,25
3, LEG,Legia Warszawa,2,3,1,6,5,6,1,1,1,26
4, OKZ,Olsztynski Klub Zeglarski,2,4,3,1,7 (RET),1,3,3,2,26
5, JK2,Jacht Klub Gryf Gdynia 2,5,2,6,1,2,7 (OCS),3,2,1,29
6, JKM,Jacht Klub Gryf Gdynia,4,1,5,3,3,2,6,2,3,29
7, WTZ,Warszawskie Towarzystwo Zeglarskie,5,2,3,2,4,5,1,4,4,30
8, YCS,Yacht Club Sopot,3,3,2,6,2,3,5,4,2,30
9, DZY,PZKS Dzygit Bialystok,4,5,4,4,1,3,5,5,6,37
10, ODY,Odyssey Sailing Club,6,5,4,4,3,2,4,5,5,38
11, YC2,Yacht Club Sopot 2,3,6,2,5,4,4,6,6,5,41
12, BOL,Sailing Team Boleslawiec,6,6,6,2,6,5,4,6,6,47
