M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, OKZ,Olsztynski Klub Zeglarski,1,4,2,2,1,2,1,7 (OCS),1,1,1,23
2, YCS,Yacht Club Sopot,2,1,4,1,3,3,1,1,1,3,6,26
3, JKM,Jacht Klub Gryf Gdynia,4,3,3,3,3,4,3,1,2,1,1,28
4, JEZ,Yacht Club Jeziorak,3,2,1,7 (OCS),2,1,4,7 (OCS),4,2,2,35
5, ODY,Odyssey Sailing Club,6,2,5,1,4,1,5,2,2,4,5,37
6, LEG,Legia Warszawa,1,1,1,4,5,6,5,5,3,4,4,39
7, POG,SEJK Pogon Szczecin,2,6,3,4,4,5,2,3,6,2,2,39
8, WTZ,Warszawskie Towarzystwo Zeglarskie,5,5,6,2,1,2,2,2,3,5,7 (OCS),40
9, YC2,Yacht Club Sopot 2,3,3,2,7 (OCS),5,3,4,4,6,5,4,46
10, BOL,Sailing Team Boleslawiec,6,6,4,6,2,6,6,4,5,3,3,51
11, DZY,PZKS Dzygit Bialystok,4,4,5,5,6,4,6,3,4,6,5,52
12, ZEG,RKS Lasery Zegrze,5,5,6,3,7 (OCS),5,3,5,5,6,3,53
