M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Σ
1, IS2,KS Iskra AMW Gdynia,4,1,1,2,1,2,1,1,4,2,1,3,5,6,34
2, JEZ,Jeziorak Yacht Club,2,2,2,2,1,1,7 (OCS),2,2,5,2,1,1,4,34
3, GIŻ,Giżycka Grupa Regatowa,1,1,5,5,2,1,2,4,1,1,5,6,1,1,36
4, LEG,Legia Warszawa,2,2,4,3,3,2,2,2,3,4,3,2,3,1,36
5, SZT,Sztorm Grupa,1,3,3,6,5,3,1,3,3,5,1,1,6,2,43
6, POG,SEJK Pogoń Szczecin,4,3,1,1,3,6,4,4,1,3,4,4,3,3,44
7, OKZ,Olsztyński Klub Żeglarski,5,6,2,3,2,4,5,1,2,1,4,3,2,5,45
8, JKM,JKM Gryf Gdynia,3,4,5,1,6,3,3,6,5,3,2,4,4,2,51
9, OD2,Odyssey Sailing Club,3,4,6,4,5,4,3,3,4,4,6,2,6,4,58
10, DZY,PZKS Dżygit Białystok,6,5,4,7 (DSQ),4,5,4,5,5,6,3,5,2,6,67
11, YCS,Yacht Club Sopot,5,5,3,4,4,6,6,5,6,2,6,6,4,5,67
12, ODY,Odyssey Sailing Club,6,6,6,5,6,5,5,6,6,6,5,5,5,3,75
