M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, GIŻ,Giżycka Grupa Regatowa,1,2,1,1,1,4,3,2,6,1,1,23
2, LEG,Legia Warszawa,2,4,5,1,4,3,4,1,1,2,2,29
3, SZT,Sztorm Grupa,3,1,1,5,2,1,2,3,3,5,3,29
4, IS2,KS Iskra AMW Gdynia,1,1,6,5,3,4,1,5,5,3,1,35
5, POG,SEJK Pogoń Szczecin,3,6,6,2,5,2,6,2,1,1,2,36
6, JEZ,Jeziorak Yacht Club,5,3,4,7 (OCS),2,2,6,1,2,3,4,39
7, JKM,JKM Gryf Gdynia,4,2,3,4,5,1,4,5,3,2,6,39
8, OKZ,Olsztyński Klub Żeglarski,5,6,3,2,4,5,3,3,4,4,4,43
9, DZY,PZKS Dżygit Białystok,2,5,5,3,6,5,5,4,2,4,5,46
10, ODY,Odyssey Sailing Club,6,4,2,3,3,6,1,4,6,6,6,47
11, OD2,Odyssey Sailing Club,6,3,2,6,1,6,5,6,4,6,3,48
12, YCS,Yacht Club Sopot,4,5,4,4,6,3,2,6,5,5,5,49
