M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Σ
1, YG2,Yacht Club Gdańsk 2,4,1,2,5,1,2,3,1,1,4,3,3,2,1,1,34
2, PJK,Puchar Polski Jachtów Kabinowych,2,2,3,3,3,3,1,1,5,4,1,2,1,7 (OCS),3,41
3, SPO,Sport Vita Ski&Sail,1,5,5,3,2,2,2,2,1,3,4,1,2,5,3,41
4, JMZ,JK Między Żaglami,2,3,1,1,2,1,2,4,6,5,2,3,6,2,2,42
5, PGR,AZS Politechnika Gdańska,3,2,4,1,3,5,1,3,3,1,1,4,7 (OCS),1,4,43
6, JSG,Jachtklub Stoczni Gdańskiej,4,4,1,2,4,3,5,4,3,2,5,1,4,7 (OCS),2,51
7, ODY,Odyssey Sailing Club,7 (DNF),5,4,2,1,4,6,3,2,6,2,2,1,7 (OCS),6,55
8, LE2,Legia Warszawa 2,5,1,3,6,6,6,4,5,4,1,5,4,3,4,1,58
9, NAV,UKS Navigo,1,4,6,7 (OCS),5,4,4,2,7 (OCS),2,4,5,3,3,4,61
10, LAS,RKS Lasery Zegrze,3,3,2,5,4,5,6,6,5,5,3,5,4,2,5,63
11, GAR,KW Garland Gliwice,7 (OCS),7 (DSQ),5,4,6,6,3,6,2,3,6,6,5,3,5,74
12, POW,SKŻ Powidz,6,6,6,4,5,1,5,5,4,6,6,6,5,6,6,77
