M-sce,Skrót,Klub,F1,F2,F3,F4,F5,Σ
1, SPO,Sport Vita Ski&Sail,3,2,1,1,2,9
2, YG2,Yacht Club Gdańsk 2,1,3,4,2,1,11
3, GAR,KW Garland Gliwice,3,5,2,1,1,12
4, PJK,Puchar Polski Jachtów Kabinowych,6,1,3,4,2,16
5, JSG,Jachtklub Stoczni Gdańskiej,2,2,6,3,3,16
6, NAV,UKS Navigo,1,4,3,3,6,17
7, PGR,AZS Politechnika Gdańska,2,5,4,2,4,17
8, JMZ,JK Między Żaglami,4,3,1,7 (OCS),3,18
9, LAS,RKS Lasery Zegrze,5,1,5,5,5,21
10, LE2,Legia Warszawa 2,4,6,2,5,4,21
11, ODY,Odyssey Sailing Club,5,4,5,6,5,25
12, POW,SKŻ Powidz,6,6,6,4,6,28
