M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, YG2,Yacht Club Gdańsk 2,1,2,4,2,3,1,1,1,1,6,3,25
2, JMZ,JK Między Żaglami,2,6,5,1,1,5,2,3,2,1,1,29
3, ODY,Odyssey Sailing Club,2,1,1,5,6,3,3,4,4.5,2,1,32.5
4, NAV,UKS Navigo,1,1,6,2,3,2,3,1,5,5,6,35
5, GAR,KW Garland Gliwice,5,2,2,3,5,3,4,2,1,4,4,35
6, SPO,Sport Vita Ski&Sail,4,3,1,6,1,4,1,5,3,3,5,36
7, PJK,Puchar Polski Jachtów Kabinowych,3,5,3,6,5,1,2,2,2,3,6,38
8, JSG,Jachtklub Stoczni Gdańskiej,4,4,4,1,2,2,6,6,3,6,2,40
9, LAS,RKS Lasery Zegrze,5,4,5,4,4,4,4,3,4.5,1,2,40.5
10, PGR,AZS Politechnika Gdańska,6,3,3,4,4,5,5,4,4,2,3,43
11, LE2,Legia Warszawa 2,3,5,2,3,2,6,6,5,6,4,5,47
12, POW,SKŻ Powidz,6,6,6,5,6,6,5,6,6,5,4,61
