M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, AWF,AZS AWFiS Gdańsk,7,1,1,1,1,2,1,1,1,2,1,2,1,22
2, WRO,UKS Żeglarz Wrocław,1,2,1,2,1,1,7,5,3,1,3,2,2,31
3, WAT,AZS WAT Warszawa,4,1,3,2,2,6,3,5,1,4,4,1,4,40
4, YSZ,YKP Szczecin,8,3,3,4,4,2,1,4,2,5,3,6,3,48
5, NIE,KS Marina Niesulice,5,3,2,4,3,3,6,3,4,6,4,5,4,52
6, GRP,TFE Grupa Regatowa Powidz,3,5,7,3,5,6,3,1,5,8,2,4,2,54
7, HRM,HRM Racing Yacht Club Gdańsk,3,6,2,6,6,7,2,4,6,2,9,4,1,58
8, KKZ,Kościański Klub Żeglarski,6,4,5,6,3,1,2,3,10 (OCS),1,2,9,8,60
9, NAV,UKS Navigo,2,9,4,3,5,4,5,2,4,3,8,6,7,62
10, YS2,Yacht Club Sopot 2,5,5,6,5,7,4,8,2,10 (OCS),3,1,3,9,68
11, GSP,Garden Space Sailing Club,9,4,4,5,6,3,8,8,6,7,7,5,3,75
12, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,7,7,8,7,7,5,4,6,5,6,6,3,7,78
13, LAS,RKS Lasery Zegrze,1,8,5,1,4,8,4,10 (OCS),8,10 (OCS),8,7,6,80
14, LE2,Legia Warszawa 2,4,2,8,8,8,8,9,6,2,5,7,7,6,80
15, OCC,Ocean Challenge Yacht Club Ladies Sailing Team,6,9,6,9,2,5,5,7,3,7,5,8,8,80
16, ETI,Etisoft Sailing Team Gliwice,10 (OCS),6,7,7,9,7,6,7,7,4,5,1,5,81
17, RBP,Regatta Business Poland,2,8,9,8,8,9,7,8,9,8,9,8,9,102
18, POW,SKŻ Powidz,8,7,9,9,9,9,9,9,7,9,6,9,5,105
