M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Σ
1, YSZ,YKP Szczecin,4,2,1,9,5,3,1,1,1,2,1,1,4,1,36
2, AWF,AZS AWFiS Gdańsk,1,2,3,2,2,1,1,2,4,10 (DSQ),1,3,2,4,38
3, WRO,UKS Żeglarz Wrocław,8,4,2,3,2,5,2,3,1,1,3,1,3,5,43
4, WAT,AZS WAT Warszawa,5,1,2,2,1,2,9,4,2,1,6,2,10 (OCS),2,49
5, NAV,UKS Navigo,2,3,1,4,3,2,4,3,7,2,5,6,6,7,55
6, HRM,HRM Racing Yacht Club Gdańsk,3,9,3,1,8,3,2,2,2,3,2,8,4,8,58
7, LE2,Legia Warszawa 2,2,3,4,5,1,6,4,9,6,7,4,4,5,6,66
8, NIE,KS Marina Niesulice,1,7,8,3,4,4,6,1,8,5,7,2,10 (OCS),3,69
9, LAS,RKS Lasery Zegrze,4,8,6,9,4,4,3,9,3,7,4,7,2,1,71
10, GSP,Garden Space Sailing Club,9,5,4,4,6,6,3,5,5,8,5,3,7,2,72
11, GRP,TFE Grupa Regatowa Powidz,6,1,5,6,7,10 (DNF),7,7,7,5,2,4,3,4,74
12, YS2,Yacht Club Sopot 2,6,5,5,7,7,5,8,8,5,8,3,6,1,3,77
13, KKZ,Kościański Klub Żeglarski,7,6,9,1,3,8,5,4,3,3,8,8,8,8,81
14, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,5,8,8,6,8,10 (OCS),5,6,6,6,9,5,1,5,88
15, ETI,Etisoft Sailing Team Gliwice,8,4,7,5,5,7,7,5,9,4,9,9,6,10 (OCS),95
16, OCC,Ocean Challenge Yacht Club Ladies Sailing Team,9,7,6,8,6,1,9,8,9,9,7,5,7,7,98
17, RBP,Regatta Business Poland,3,6,9,8,9,7,6,7,8,4,8,9,5,9,98
18, POW,SKŻ Powidz,7,9,7,7,9,8,8,6,4,6,6,7,9,6,99
