M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,Σ
1, WAT,AZS WAT Warszawa,3,1,2,4,5,2,1,5,1,24
2, AWF,AZS AWFiS Gdańsk,1,3,4,1,1,3,4,7,2,26
3, YSZ,YKP Szczecin,2,5,3,1,4,6,2,1,4,28
4, WRO,UKS Żeglarz Wrocław,9,2,1,4,1,5,6,3,1,32
5, GSP,Garden Space Sailing Club,5,1,3,7,3,7,2,2,2,32
6, GRP,TFE Grupa Regatowa Powidz,8,7,1,3,5,1,1,6,4,36
7, KKZ,Kościański Klub Żeglarski,2,8,4,8,2,5,8,2,3,42
8, HRM,HRM Racing Yacht Club Gdańsk,6,3,2,2,6,4,8,9,3,43
9, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,3,8,8,6,3,1,4,4,7,44
10, NIE,KS Marina Niesulice,4,6,5,5,2,8,3,4,7,44
11, YS2,Yacht Club Sopot 2,5,2,6,9,8,2,3,8,5,48
12, OCC,Ocean Challenge Yacht Club Ladies Sailing Team,7,4,7,7,9,3,6,1,5,49
13, LE2,Legia Warszawa 2,1,4,7,5,7,9,5,3,9,50
14, LAS,RKS Lasery Zegrze,4,5,6,6,6,6,9,6,6,54
15, NAV,UKS Navigo,7,9,5,2,8,4,7,8,6,56
16, RBP,Regatta Business Poland,8,6,8,8,4,7,9,5,8,63
17, ETI,Etisoft Sailing Team Gliwice,6,9,9,3,9,8,5,9,9,67
18, POW,SKŻ Powidz,9,7,9,9,7,9,7,7,8,72
