M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, OKZ,Olsztyński Klub Żeglarski,6,2,1,1,5,1,1,3,3,1,5,3,3,35
2, YCG,Yacht Club Gdańsk,7,1,2,6,3,4 (SCP),1,2,5,3,3,2,3,42
3, LEG,Legia Warszawa,5,3,1,5,4,1,4,1,7,5,4,3,1,44
4, YKP,Yacht Klub Polski Gdynia,2,1,3,6,2,7,3,5,1,2,1,5,7,45
5, ISK,KS Iskra AMW Gdynia,1,2,5,2,6,4,7,3,2,6,3,7,2,50
6, JMZ,JK Między Żaglami,3,7,8,3,7,3,6,4,1,1,1,2,5,51
7, GIZ,Giżycka Grupa Regatowa,3,3,6,3,1,5,5,2,5,2,8,5,5,53
8, POG,SEJK Pogoń Szczecin,8,8,4,8,2,2,4,1,4,4,5,1,4,55
9, PGR,AZS Politechnika Gdańska,9,7,5,2,6,2,2,4,9,9,2,1,1,59
10, YCS,Yacht Club Sopot,1,4,6,4,1,7,2,8,3,6,6,8,4,60
11, SPO,Sport Vita Ski&Sail,2,5,2,1,10 (DSQ),8,6,8,8,4,2,6,2,64
12, SZT,Sztorm Grupa,4,6,4,4,4,6,3,9,2,8,7,7,6,70
13, DZY,PŻKS Dżygit Białystok,5,6,3,9,5,5,8,6,6,7,4,6,8,78
14, ODY,Odyssey Sailing Club,4,4,9,5,3,8,9,5,9,3,6,9,9,83
15, PJK,Stowarzyszenie PPJK,8,5,7,9,8,10 (OCS),5,7,7,5,7,4,9,91
16, WOL,UKS Albatros Wolin,7,9,9,7,8,6,7,6,8,8,8,4,7,94
17, JSG,Jachtklub Stoczni Gdańskiej,6,8,7,7,7,10 (SCP),9,7,6,7,9,10 (OCS),6,99
18, GAR,KW Garland Gliwice,9,9,8,8,9,4,8,9,4,9,9,8,8,102
