M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Σ
1, YKP,Yacht Klub Polski Gdynia,1,4,1,1,1,3,5,4 (RDG),3,1,2,1,2,1,30
2, YCG,Yacht Club Gdańsk,1,3,2,5,4,6,3,1,1,1,1,2,1,1,32
3, LEG,Legia Warszawa,7,1,4,2,5,3,6,1,6,3,1,5,6,4,54
4, POG,SEJK Pogoń Szczecin,2,2,9,1,6,5,5,5,8,4,4,2,2,2,57
5, OKZ,Olsztyński Klub Żeglarski,5,7,3,4,5,1,4,4,5,10 (OCS),6,1,1,2,58
6, SZT,Sztorm Grupa,6,6,5,3,8,5,3,3,1,2,3,3,6,4,58
7, ISK,KS Iskra AMW Gdynia,3,2,7,4,1,1,4,2,4,6,7,3,7,10 (OCS),61
8, PGR,AZS Politechnika Gdańska,8,1,4,8,2,2,2,2,3,2,3,10 (OCS),8,7,62
9, GAR,KW Garland Gliwice,7,3,2,6,3,7,1,8,2,8,4,8,5,3,67
10, YCS,Yacht Club Sopot,9,5,6,8,2,7,2,3,6,6,8,4,4,5,75
11, ODY,Odyssey Sailing Club,6,5,1,2,9,10 (OCS),9,4,5,7,5,4,5,8,80
12, SPO,Sport Vita Ski&Sail,2,6,3,7,3,8,10 (OCS),8,2,9,5,6,3,8,80
13, DZY,PŻKS Dżygit Białystok,4,9,6,6,4,4,8,7,7,5,6,6,3,5,80
14, JSG,Jachtklub Stoczni Gdańskiej,3,4,7,9,8,2,7,7,4,7,2,9,8,7,84
15, JMZ,JK Między Żaglami,4,10 (OCS),8,5,7,4,1,6,8,5,9,7,9,3,86
16, WOL,UKS Albatros Wolin,8,8,8,3,6,6,6,5,9,4,7,5,7,6,88
17, PJK,Stowarzyszenie PPJK,5,7,5,7,7,8,7,9,7,3,8,7,4,6,90
18, GIZ,Giżycka Grupa Regatowa,10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),10 (DNC),140
