M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Σ
1, YKP,Yacht Klub Polski Gdynia,3,1,1,3,4,4,1,7,6,3,1,2,3,4,4,47
2, LEG,Legia Warszawa,5,2,3,4,1,6,3,1,3,2,3,3,2,5,5,48
3, GAR,KW Garland Gliwice,3,3,5,3,6,2,1,4,1,1,4,8,5,1,2,49
4, YCG,Yacht Club Gdańsk,2,5,1,1,1,2,2,2,1,7,7,1,1,8,10 (OCS),51
5, SZT,Sztorm Grupa,4,4,2,4,2,6,6,5,2,1,1,1,7,4,7,56
6, SPO,Sport Vita Ski&Sail,7,1,7,1,3,5,2,2,2,6,2,9,4,5,1,57
7, GIZ,Giżycka Grupa Regatowa,1,3,2,2,5,7,9,3,6,7,5,6,2,3,4,65
8, PGR,AZS Politechnika Gdańska,9,6,9,7,4,1,5,4,3,2,4,5,3,2,3,67
9, POG,SEJK Pogoń Szczecin,1,5,6,6,3,8,4,8,4,4,8,2,1,9,1,70
10, ISK,KS Iskra AMW Gdynia,8,4,3,7,7,1,7,6,4,3,2,4,9,3,2,70
11, OKZ,Olsztyński Klub Żeglarski,7,7,5,5,5,4,10 (OCS),3,5,4,3,3,4,1,10 (OCS),76
12, ODY,Odyssey Sailing Club,9,9,4,5,2,3,3,1,9,5,9,7,8,6,3,83
13, JMZ,JK Między Żaglami,5,2,6,2,8,7,8,7,5,5,6,4,8,7,5,85
14, JSG,Jachtklub Stoczni Gdańskiej,2,7,4,8,8,8,4,6,8,8,9,7,5,9,7,100
15, PJK,Stowarzyszenie PPJK,6,9,7,9,10 (OCS),5,5,5,7,8,6,8,6,6,8,105
16, WOL,UKS Albatros Wolin,4,8,8,6,7,9,6,9,9,9,8,9,6,2,6,106
17, DZY,PŻKS Dżygit Białystok,8,8,9,8,9,3,8,8,7,6,5,5,7,8,9,108
18, YCS,Yacht Club Sopot,6,6,8,9,6,9,7,9,8,10 (OCS),7,6,10 (OCS),7,6,114
