M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Σ
1, YKL,Lubelskie YKP Lublin,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,18
2, RSR,Rockstars Racing,5,3,1,1,3,1,1,1,1,1,3,2,7,2,1,33
3, SLA,Slava Racing,1,5,5,2,3,1,6,4,1,3,4,3,2,6,6,52
4, POL,Polsporty Sailing,3,3,3,5,1,5,2,10 (OCS),3,4,6,2,4,1,5,57
5, POW,SKŻ Powidz,4,2,5,8,2,7,5,5,4,2,2,3,2,2,4,57
6, YKW,YKP Warszawa,6,4,3,6,4,3,4,8,6,2,2,4,1,4,2,59
7, AK2,Akademia Żeglarstwa w Środzie Wielkopolskiej 2,7,7,4,4,1,2,4,3,9,3,4,7,3,3,8,69
8, APO,Klub Żeglarski Auto Podlasie,5,4,6,2,6,6,10 (OCS),4,4,6,5,1,5,3,4,71
9, OC2,Ocean Challenge Ladies Sailing Team 2,3,5,2,4,7,6,6,10 (OCS),2,4,7,5,4,7,2,74
10, ETI,Etisoft Sailing Team,2,6,2,5,7,4,2,2,3,9,6,9,5,10 (SCP),3,75
11, MIC,Inex Green Micro Class,8,1,6,3,5,3,3,7,5,8,3,4,8,6 (SCP),7,77
12, YZ2,YKP Szczecin 2,4,6,9,3,4,7,5,3,5,9,5,6,6,4,10 (SCP),86
13, FLO,Jacht Klub Wielkopolski Flota Online,2,2,4,7,8,4,10 (OCS),2,6,5,1,10 (DNF),10 (DNC),10 (DNC),10 (DNC),91
14, HAL,Klub Żeglarski Hals Gostynin,10 (DNF),9,7,7,5,5,3,6,7,7,7,8 (SCP),3,8,3,95
15, LA2,Lasery Zegrze 2,7,8,8,9,9,8,8,6,7,5,8,5,6,7,7,108
16, WTR,Warszawskie Towarzystwo Regatowe,8,7,8,6,6,9,7,5,10 (OCS),7,8,6,9,8,8,112
17, GR2,Grupa Regatowa Powidz 2,6,8,7,8,9,9,8 (SCP),8,8,8,9,8,8,5,6,115
18, SAT,Chotomowski Klub Żeglarski Satchwell,9,9,9,9,8,8,10 (OCS),7,8,6,9,8,7,9,5,121
