M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, YKL,Lubelskie YKP Lublin,2,3,3,7,3,2,3,1,1,1,2,2,1,31
2, HRM,HRM Racing,3,2,1,4,4,3,3,4,1,1,3,1,4,34
3, RSR,Rockstars Racing,4,10 (OCS),6,6,2,1,2,3,3,5,3,7,2,54
4, NAV,Interdoor UKS Navigo,4,8,2,2,1,1,7,6,5,5,6,4,4,55
5, YS2,Yacht Club Sopot 2,7,5,6,3,7,4,1,2,3,3,1,6,8,56
6, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,1,1,5,2,3,3,8,10 (SCP),8,3,7,3,3,57
7, POL,Polsporty Sailing,1,7,8,3,2,8 (SCP),2,7,7,2,4,8,1,60
8, GRP,Grupa Regatowa Powidz,5,6,1,1,6,8,9,3,2,10 (OCS),1,5,5,62
9, DZY,PŻKS Dżygit Białystok,2,3,3,5,4,8 (SCP),4,1,8,6,5,8,5,62
10, KKZ,Kościański Klub Żeglarski,3,5,8,10 (OCS),5,5,5,7,4,4,2,2,3,63
11, JSG,Jachtklub Stoczni Gdańskiej,9,1,7,6,1,7,6,8,6,8,7,1,2,69
12, WOL,UKS Albatros Wolin,8,8,5,5,6,4,7,5,2,7,6,6,6,75
13, SLA,Slava Racing,5,4,4,7,8,6,4,4,4,6,8,9,6,75
14, PJK,Stowarzyszenie PPJK,7,2,4,9,7,2,6,9,9,7,4,3,7,76
15, OCC,Ocean Challenge Yacht Club,6,10 (OCS),2,1,9,8,1,2,9,8,9,5,9,79
16, ETI,Etisoft 2KMM Sailing Team,6,6,9,8,8,9,5,6,7,2,5,9,8,88
17, LAS,Lasery Zegrze,9,7,9,8,9,5,8,5,5,4,8,4,7,88
18, NIE,KS Marina Niesulice,8,4,7,4,5,9,9,8,6,9,9,7,9,94
