M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, RSR,Rockstars Racing,2,1,1,1,5,7,1,1,1,2,1,23
2, KKZ,Kościański Klub Żeglarski,5,4,5,5,1,5,2,5,1,1,2,36
3, PJK,Stowarzyszenie PPJK,3,8,4,3,9,1,1,4,3,5,2,43
4, NAV,Interdoor UKS Navigo,1,5,1,4,4,3,6,5,4,6,4,43
5, POL,Polsporty Sailing,3,4,3,8,3,1,3,3,8,4,5,45
6, OCC,Ocean Challenge Yacht Club,1,5,5,9,1,4,10 (OCS),2,2,2,6,47
7, YKL,Lubelskie YKP Lublin,9,2,2,2,2,4,7,6,6,3,4,47
8, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,5,2,3,1,6,2,2,7,6,9,6,49
9, HRM,HRM Racing,4,8,8,3,4,5,4,4,9,1,1,51
10, YS2,Yacht Club Sopot 2,6,3,9,5,2,7,8,2,2,7,3,54
11, NIE,KS Marina Niesulice,8,3,7,7,7,2,3,3,5,6,7,58
12, SLA,Slava Racing,6,6,4,2,8,6,4,1,7,8,8,60
13, JSG,Jachtklub Stoczni Gdańskiej,4,7,2,7,5,9,6,7,5,5,3,60
14, DZY,PŻKS Dżygit Białystok,8,1,6,6,3,8,8,10 (OCS),4,3,5,62
15, WOL,UKS Albatros Wolin,2,9,7,6,7,6,7,8,7,7,8,74
16, GRP,Grupa Regatowa Powidz,7,6,10 (DNF),9,8,3,5,8,3,9,7,75
17, LAS,Lasery Zegrze,7,9,8,4,6,8,9,6,8,4,9,78
18, ETI,Etisoft 2KMM Sailing Team,10 (DNF),7,6,8,9,9,5,9,9,8,9,89
