M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, HRM,HRM Racing,1,5,1,1,3,3,3,1,2,1,1,1,1,24
2, RSR,Rockstars Racing,1,2,3,4,2,4,3,1,2,1,4,3,1,31
3, POL,Polsporty Sailing,2,1,5,1,1,1,5,3,1,2,6,4,4,36
4, YKL,Lubelskie YKP Lublin,3,3,7,2,10 (OCS),2,4,4,4,2,2,1,2,46
5, PJK,Stowarzyszenie PPJK,2,1,1,4,2,2,2,8,7,4,6,2,8,49
6, KKZ,Kościański Klub Żeglarski,4,4,2,2,5,3,1,5,8,6,8,2,3,53
7, YS2,Yacht Club Sopot 2,6,3,2,3,4,5,6,2,7,4,5,6,4,57
8, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,5,2,7,5,1,4,2,6,1,8,5,5,7,58
9, JSG,Jachtklub Stoczni Gdańskiej,4,6,6,7,8,7.5,1,4,3,3,1,6,3,59.5
10, NIE,KS Marina Niesulice,7,9,3,8,5,1,5,2,4,6,3,3,5,61
11, SLA,Slava Racing,6,4,5,3,4,9,6,3,5,7,10 (DNF),7,5,74
12, OCC,Ocean Challenge Yacht Club,5,7,4,7,9,6,7,6,8,5,3,10 (OCS),2,79
13, ETI,Etisoft 2KMM Sailing Team,8,8,4,10 (OCS),7,7,4,7,3,5,2,8,7,80
14, LAS,Lasery Zegrze,9,5,8,10 (DNF),6,8,7,5,5,7,4,5,6,85
15, DZY,PŻKS Dżygit Białystok,8,6,9,5,3,7.5,8,8,6,3,9,8,8,88.5
16, WOL,UKS Albatros Wolin,3,8,9,8,7,5,10 (OCS0,9,6,8,7,7,6,93
17, NAV,Interdoor UKS Navigo,9,7,6,6,6,6,8,7,9,10 (DNF),7,4,9,94
18, GRP,Grupa Regatowa Powidz,7,9,8,6,8,9,9,9,9,9,8,9,9,109
