M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, HRM,HRM Racing,1,1,1,3,1,1,8,4,2,3,1,2,1,29
2, RSR,Rockstars Racing,2,2,6,2,1,2,2,3,3,6,6,1,1,37
3, OCC,Ocean Challenge Yacht Club,2,2,4,2,6,1,3,10 (OCS),4,1,4,5,4,48
4, NIE,KS Marina Niesulice,1,1,2,4,2,2,6,7,4,3,7,8,5,52
5, YKL,Lubelskie YKP Lublin,9,5,3,6,3,3,10 (DSQ),1,1,4,3,2,2.5 (RDG),52.5
6, POL,Polsporty Sailing,3,4,6,1,6,4,10 (DNF),2,2,10 (OCS),1,4,3,56
7, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,4,3,4,3,4,6,1,8,3,7,2,4,7,56
8, JSG,Jachtklub Stoczni Gdańskiej,4,7,5,4,3,5,5,3,9,8,5,3,2,63
9, SLA,Slava Racing,7,5,2,7,7,3,4,5,1,2,3,9,10 (OCS),65
10, KKZ,Kościański Klub Żeglarski,7,3,1,9,5,4,1,9,5,4,9,1,10 (OCS),68
11, YS2,Yacht Club Sopot 2,6,6,7,1,5,7,6,5,9,1,7,8,4,72
12, DZY,PŻKS Dżygit Białystok,10 (SCP),8,3,7,4,5,2,2,6,6,8,6,6,73
13, ETI,Etisoft 2KMM Sailing Team,3,7,5,5,8,8,3,4,5,9,6,7,3,73
14, GRP,Grupa Regatowa Powidz,5,9,8,6,2,9,9,1,7,5,5,10 (OCS),2,78
15, PJK,Stowarzyszenie PPJK,5,9,7,5,7,9,5,7,8,5,2,3,10 (OCS),82
16, NAV,Interdoor UKS Navigo,8,4,8,10 (OCS),9,8,7,6,6,7,4,6,8,91
17, WOL,UKS Albatros Wolin,6,8,9,8,8,6,4,8,7,10 (OCS),8,5,5,92
18, LAS,Lasery Zegrze,9,6,9,8,9,7,7,6,8,2,9,7,9,96
