M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, BLX,Balex YKP Gdynia,2,4,6,1,4,3,2,1,7,1,1,32
2, YCG,Yacht Club Gdańsk,3,2,5,3,2,4,1,4,1,5,4,34
3, LEG,Legia Warszawa,3,7,3,4,1,1,3,9,2,2,4,39
4, AWF,AZS AWFiS Gdańsk,1,6,4,1,1,2,4,1,8,7,6,41
5, YKS,YKP Szczecin,1,8,2,4,9,2,8,4,3,3,3,47
6, WRO,UKS Żeglarz Wrocław,7,1,5,7,3,6,6,3,6,4,2,50
7, WAT,AZS WAT Warszawa,6,9,1,5,8,1,5,7,3,1,5,51
8, JNG,Junga Gdynia Olsztyński Klub Żeglarski,5,3,7,6,6,7,1,10 (OCS),4,2,1,52
9, POG,Pogoń Szczecin,2,1,7,5,5,9,3,2,5,5,8,52
10, ISK,KS Iskra AMW Gdynia,4,9,1,2,7,4,2,7,5,6,7,54
11, SZT,Sztorm Grupa,6,6,3,3,9,8,4,5,2,4,5,55
12, YCS,Yacht Club Sopot,4,3,4,9,8,7,9,10 (OCS),1,3,2,60
13, YCB,Yacht Club Białołęka,9,5,6,2,6,3,5,3,6,9,8,62
14, SPO,Sport Vita Ski&Sail,8,2,2,8,3,6,6,6,9,7,6,63
15, GAR,Miasto Gliwice KW Garland,7 (RDG),4,9,8,4,9,9,6,4,6,3,69
16, GGR,Giżycka Grupa Regatowa Nowy Sztynort Osada Wolności,5,7,9,6,2,8,7,2,8,8,9,71
17, PGR,AZS Politechnika Gdańska,8,5,8,7,5,5,8,8,9,9,7,79
18, ODY,Odyssey Sailing Club,7,8,8,9,7,5,7,5,7,8,9,80
