M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Σ
1, BLX,Balex YKP Gdynia,4,5,2,2,3,1,1,7 (SCP),4.5,1,6,1,"35,5"
2, JNG,Junga Gdynia Olsztyński Klub Żeglarski,1,5,1,7,3,1,1,1,2,4,8,3,37
3, YCG,Yacht Club Gdańsk,2,3,2,3,4,7,5,1,5,3,3,4,42
4, YCS,Yacht Club Sopot,1,3,4,2,8,5,2,3,9,2,2,8,49
5, WAT,AZS WAT Warszawa,5,1,5,1,9,5,7,2,6,5,2,4,52
6, POG,Pogoń Szczecin,7,2,5,8,6,2,3,2,4,3,3,7,52
7, GGR,Giżycka Grupa Regatowa Nowy Sztynort Osada Wolności,2,4,3,3,4,8,6,3,4,5,8,2,52
8, WRO,UKS Żeglarz Wrocław,9,9,8,5,1,4,2,9,4.5,4,1,1,"55,5"
9, ISK,KS Iskra AMW Gdynia,4,1,7,6,2,7,7,5,3,8,5,2,57
10, LEG,Legia Warszawa,6,4,7,1,5,9,5,6,1,1,7,6,58
11, AWF,AZS AWFiS Gdańsk,3,8,6,5,1,4,3,7,8,6,5,5,61
12, PGR,AZS Politechnika Gdańska,8,7,8,4,6,3,4,8,5,2,1,9,65
13, YKS,YKP Szczecin,6,6,3,4,8,3,6,4,7,10 (OCS),4,5,66
14, GAR,Miasto Gliwice KW Garland,5,7,1,7,7,2,12 (SCP),4,6,6,6,6,69
15, SZT,Sztorm Grupa,3,6,6,9,2,9,8,7,1,9,7,7,74
16, SPO,Sport Vita Ski&Sail,8,2,4,8,7,8,4,8,9,7,4,8,77
17, YCB,Yacht Club Białołęka,7,9,9,6,5,6,9,5,7,8,9,3,83
18, ODY,Odyssey Sailing Club,9,8,9,9,9,6,8,9,8,7,9,9,100
