M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Σ
1, OCC,Ocean Challenge Yacht Club,1,2,1,2,1,2,10 (OCS),1,5,3,8,1,4,3,44
2, WOL,UKS Albatros Wolin,4,4,3,3,1,1,3,2,3,1,6,10 (SCP),2,4,47
3, SPO,Sport Vita Ski&Sail,5,7,1,1,2,5,1,6,1,9,2,6,6,1,53
4, KKZ,Kościański Klub Żeglarski,5,3,2,3,7,3,6,1,4,6,5,7,1,2,55
5, JSG,Jachtklub Stoczni Gdańskiej,6,1,6,4,3,4,5,5,4,5,2,3,6,8,62
6, ODY,Odyssey Sailing Club,1,5,6,5,5,5,2,5,5,8,4,1,5,7,64
7, YS2,Yacht Club Sopot 2,7,6,8,6,3,1,2,8,3,7,1,5,4,4,65
8, GAR,KW Garland,4,7,2,8,8,4,7,2,6,1,3,5,5,5,67
9, NIE,KS Marina Niesulice,6,4,5,10 (OCS),4,3,1,6,8,8,1,4,1,9,70
10, PJK,Stowarzyszenie PPJK,2,6,7,1,5,7,3,3,2,5,6,8,9,7,71
11, NAV,UKS Navigo,9,2,7,9,2,10 (OCS),7,3,1,7,5,2,3,6,73
12, HAL,Klub Żeglarski HALS Gostynin,3,3,8,10 (OCS),4,6,4,4,7,9,3,8,2,3,74
13, YCB,Yacht Club Białołeka,9 (SCP),5,4,2,6,2,5,7,7,2,10 (OCS),7,8,5,79
14, ETI,Etisoft 2KMM Sailing Team,10 (SCP),8,3,5,8,9,9,8,2,3,4,3,3,6,81
15, POW,SKŻ Powidz,8,1,5,7,9,7,8,9,6,2,7,4,10 (RET),2,85
16, SLA,Slava Racing,7,9,4,4,7,8,4,4,9,6,8,2,7,8,87
17, MEW,Małe Elektrownie Wodne Micro Class,3,9,9,6,9,6,6,7,8,4,7,6,7,1,88
18, GRP,Grupa Regatowa Powidz,2,8,9,7,6,8,8,9,9,4,9,9,8,10 (DNC),106
