M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Σ
1, SPO,Sport Vita Ski&Sail,5,1,2,4,3,1,1,1,3,1,5,1,28
2, YCB,Yacht Club Białołeka,3,4,4,6,1,3,3,1,2,5,1,6,39
3, SLA,Slava Racing,2,4,1,4,4,3,4,3,1,8,3,2,39
4, WOL,UKS Albatros Wolin,3,5,7,1,8,6,2,2,7,6,1,1,49
5, KKZ,Kościański Klub Żeglarski,6,7,3,3,5,1,3,5,1,3,3,10 (OCS),50
6, OCC,Ocean Challenge Yacht Club,4,6,6,8,6,2,2,3,4,5,2,3,51
7, YS2,Yacht Club Sopot 2,1,2,6,3,2,8,5,8,5,6,4,5,55
8, GAR,KW Garland,9 (SCP),8,1,1,7,7,1,4,2,7,6,4,57
9, NAV,UKS Navigo,1,1,5,5,5,9,8,10 (OCS),5,1,7,2,59
10, NIE,KS Marina Niesulice,2,5,2,8,1,4,7,10 (OCS),6,3,9,6,63
11, HAL,Klub Żeglarski HALS Gostynin,6,9,7,9,2,5,5,5,3,4,4,4,63
12, JSG,Jachtklub Stoczni Gdańskiej,8,6,9,2,4,4,6,6,6,4,5,3,63
13, ODY,Odyssey Sailing Club,9,2,3,7,8,2,8,7,8,2,7,7,70
14, MEW,Małe Elektrownie Wodne Micro Class,8,7,5,7,9,6,9,2,7,2,2,8,72
15, GRP,Grupa Regatowa Powidz,4,8,4,5,3,8,9,7,9,9,6,7,79
16, PJK,Stowarzyszenie PPJK,5,9,8,6,7,7,6,4,9,7,9,5,82
17, POW,SKŻ Powidz,9,3,10 (OCS),9,6,5,4,10 (OCS),4,8,8,8,84
18, ETI,Etisoft 2KMM Sailing Team,7,3,8,2,9,9,7,6,8,9,8,9,85
