M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,Σ
1, ONB,Onboard,2,,2,,3,5,,1,3,,1,1,,1,1,,1,2,,1,1,,2,1,28
2, NSZ,Jachtklub Nowy Sztynort,6,1,,4,,2,1,2,,2,,3,2,,6,1,2,,5,4,,1,4,,46
3, YKW,YKP Warszawa,4,,4,1,,4,3,,1,4,,5,1,,3,3,,4,1,,3,3,,3,47
4, BSA,BSA Flota Gdynia,,2,1,,1,3,,7,2,,4,2,,2,2,,3,1,,2,9 (DSQ),,3,4,48
5, MEC,Port Mechelinki,5,3,,3,2,,2,3,,3,5,,5,3,,2,4,,2,7,,,1,7,57
6, SRC,Symfonia Racing,7,,5,2,5,,5,5,,1,2,,7,6,,4,7,,4,3,,2,7,,72
7, R2S,R2 Sailing Team,3,7,,5,,1,6,,7,5,, 9 (RET),3,,5,5,,9 (DNF),3,,4,4,,2,78
8, YZ2,YKP Szczecin 2,1,,3,6,4,,7,4,,6,3,,6,5,,6,5,,7,8,,5,5,,81
9, SOL,KS Puchar Soliny,,4,7,,7,6,,6,6,,6,4,,4,4,,8,3,,6,2,,8,5,86
10, RBP,Regatta Business Poland,8,5,,7,6,,4,,5,8,7,,4,7,,,6,5,,5,5,9 (DNS),6,,97
11, HEA,Hear Studio Sailing Team,,6,6,8,,7,8,,4,7,,6,8,,7,7,,6,6,,6,6,,6,104
