ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
531148743,2023121,YKL,3.0,0,0
531248743,2023122,YKL,4.0,0,0
531348743,2023123,YKL,4.0,0,0
531448743,2023124,YKL,1.0,0,0
531548743,2023125,YKL,2.0,0,0
531648743,2023126,YKL,2.0,0,0
531748743,2023127,YKL,1.0,0,0
531848743,2023128,YKL,1.0,0,0
531948743,2023129,YKL,2.0,0,0
531183666,2023121,YCG,4.0,0,0
531283666,2023122,YCG,3.0,0,0
531383666,2023123,YCG,5.0,0,0
531483666,2023124,YCG,4.0,0,0
531583666,2023125,YCG,2.0,0,0
531683666,2023126,YCG,2.0,0,0
531783666,2023127,YCG,1.0,0,0
531883666,2023128,YCG,7.0,0,0
531983666,2023129,YCG,1.0,0,0
531185732,2023121,YKP,6.0,0,0
531285732,2023122,YKP,1.0,0,0
531385732,2023123,YKP,6.0,0,0
531485732,2023124,YKP,3.0,0,0
531585732,2023125,YKP,1.0,0,0
531685732,2023126,YKP,5.0,0,0
531785732,2023127,YKP,2.0,0,0
531885732,2023128,YKP,6.0,0,0
531985732,2023129,YKP,4.0,0,0
531195746,2023121,YCS,4.0,0,0
531295746,2023122,YCS,5.0,0,0
531395746,2023123,YCS,7.0,0,0
531495746,2023124,YCS,1.0,0,0
531595746,2023125,YCS,6.0,0,0
531695746,2023126,YCS,3.0,0,0
531795746,2023127,YCS,3.0,0,0
531895746,2023128,YCS,4.0,0,0
531995746,2023129,YCS,2.0,0,0
531112673,2023121,SZT,5.0,0,0
531212673,2023122,SZT,4.0,0,0
531312673,2023123,SZT,1.0,0,0
531412673,2023124,SZT,5.0,0,0
531512673,2023125,SZT,1.0,0,0
531612673,2023126,SZT,4.0,0,0
531712673,2023127,SZT,8.0,0,0
531812673,2023128,SZT,3.0,0,0
531912673,2023129,SZT,8.0,0,0
531111523,2023121,HRM,10.0,1,0
531211523,2023122,HRM,6.0,0,0
531311523,2023123,HRM,4.0,0,0
531411523,2023124,HRM,2.0,0,0
531511523,2023125,HRM,3.0,0,0
531611523,2023126,HRM,1.0,0,0
531711523,2023127,HRM,6.0,0,0
531811523,2023128,HRM,4.0,0,0
531911523,2023129,HRM,3.0,0,0
531118382,2023121,YKS,1.0,0,0
531218382,2023122,YKS,7.0,0,0
531318382,2023123,YKS,2.0,0,0
531418382,2023124,YKS,3.0,0,0
531518382,2023125,YKS,3.0,0,0
531618382,2023126,YKS,8.0,0,0
531718382,2023127,YKS,4.0,0,0
531818382,2023128,YKS,5.0,0,0
531918382,2023129,YKS,6.0,0,0
531172748,2023121,LEG,3.0,0,0
531272748,2023122,LEG,8.0,0,0
531372748,2023123,LEG,1.0,0,0
531472748,2023124,LEG,4.0,0,0
531572748,2023125,LEG,8.0,0,0
531672748,2023126,LEG,6.5,0,0
531772748,2023127,LEG,6.0,0,0
531872748,2023128,LEG,6.0,0,0
531972748,2023129,LEG,1.0,0,0
531116187,2023121,WAT,5.0,0,0
531216187,2023122,WAT,10.0,1,0
531316187,2023123,WAT,2.0,0,0
531416187,2023124,WAT,5.0,0,0
531516187,2023125,WAT,4.0,0,0
531616187,2023126,WAT,1.0,0,0
531716187,2023127,WAT,7.0,0,0
531816187,2023128,WAT,5.0,0,0
531916187,2023129,WAT,5.0,0,0
531143215,2023121,NSO,6.0,0,0
531243215,2023122,NSO,6.0,0,0
531343215,2023123,NSO,3.0,0,0
531443215,2023124,NSO,10.0,1,0
531543215,2023125,NSO,5.0,0,0
531643215,2023126,NSO,6.5,0,0
531743215,2023127,NSO,5.0,0,0
531843215,2023128,NSO,2.0,0,0
531943215,2023129,NSO,3.0,0,0
531129558,2023121,POG,1.0,0,0
531229558,2023122,POG,2.0,0,0
531329558,2023123,POG,5.0,0,0
531429558,2023124,POG,7.0,0,0
531529558,2023125,POG,9.0,0,0
531629558,2023126,POG,4.0,0,0
531729558,2023127,POG,8.0,0,0
531829558,2023128,POG,2.0,0,0
531929558,2023129,POG,9.0,0,0
531196038,2023121,RSR,2.0,0,0
531296038,2023122,RSR,3.0,0,0
531396038,2023123,RSR,3.0,0,0
531496038,2023124,RSR,6.0,0,0
531596038,2023125,RSR,6.0,0,0
531696038,2023126,RSR,5.0,0,0
531796038,2023127,RSR,7.0,0,0
531896038,2023128,RSR,9.0,0,0
531996038,2023129,RSR,6.0,0,0
531193882,2023121,ISK,8.0,0,0
531293882,2023122,ISK,2.0,0,0
531393882,2023123,ISK,8.0,0,0
531493882,2023124,ISK,2.0,0,0
531593882,2023125,ISK,7.0,0,0
531693882,2023126,ISK,6.0,0,0
531793882,2023127,ISK,5.0,0,0
531893882,2023128,ISK,1.0,0,0
531993882,2023129,ISK,9.0,0,0
531182721,2023121,WRO,2.0,0,0
531282721,2023122,WRO,1.0,0,0
531382721,2023123,WRO,8.0,0,0
531482721,2023124,WRO,6.0,0,0
531582721,2023125,WRO,9.0,0,0
531682721,2023126,WRO,9.0,0,0
531782721,2023127,WRO,3.0,0,0
531882721,2023128,WRO,8.0,0,0
531982721,2023129,WRO,7.0,0,0
531156800,2023121,PGR,8.0,0,0
531256800,2023122,PGR,7.0,0,0
531356800,2023123,PGR,7.0,0,0
531456800,2023124,PGR,8.0,0,0
531556800,2023125,PGR,7.0,0,0
531656800,2023126,PGR,3.0,0,0
531756800,2023127,PGR,2.0,0,0
531856800,2023128,PGR,7.0,0,0
531956800,2023129,PGR,4.0,0,0
531187479,2023121,AWF,7.0,0,0
531287479,2023122,AWF,5.0,0,0
531387479,2023123,AWF,6.0,0,0
531487479,2023124,AWF,7.0,0,0
531587479,2023125,AWF,4.0,0,0
531687479,2023126,AWF,9.0,0,0
531787479,2023127,AWF,9.0,0,0
531887479,2023128,AWF,8.0,0,0
531987479,2023129,AWF,8.0,0,0
531182700,2023121,POL,7.0,0,0
531282700,2023122,POL,9.0,0,0
531382700,2023123,POL,9.0,0,0
531482700,2023124,POL,9.0,0,0
531582700,2023125,POL,5.0,0,0
531682700,2023126,POL,7.0,0,0
531782700,2023127,POL,4.0,0,0
531882700,2023128,POL,9.0,0,0
531982700,2023129,POL,5.0,0,0
531134412,2023121,OKZ,9.0,0,0
531234412,2023122,OKZ,8.0,0,0
531334412,2023123,OKZ,9.0,0,0
531434412,2023124,OKZ,8.0,0,0
531534412,2023125,OKZ,8.0,0,0
531634412,2023126,OKZ,8.0,0,0
531734412,2023127,OKZ,9.0,0,0
531834412,2023128,OKZ,3.0,0,0
531934412,2023129,OKZ,7.0,0,0
