M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,Σ
1, PGR,AZS Politechnika Gdańska,1,2,3,4,1,2,7,1,4,25
2, WRO,UKS Żeglarz Wrocław,2,4,5,2,2,4,1,8,2,30
3, YCS,Yacht Club Sopot,1,1,6,7,3,3,4,5,5,35
4, AWF,AZS AWFiS Gdańsk,7,8,1,5,3,8,4,2,1,39
5, POG,Pogoń Szczecin,2,7,6,6,9,2,3,3,1,39
6, RSR,On Lemon Rockstars Racing,10 (DNF),2,4,2,8,1,3,3,8,41
7, WAT,AZS WAT Warszawa,5,9,7,1,8,4,1,1,7,43
8, YKS,YKP Szczecin,6,6,2,3,1,7,8,7,3,43
9, ISK,KS Iskra AMW Gdynia,8,3,2,3,9,5,5,7,2,44
10, NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,4,5,4,6,5,8,2,4,6,44
11, HRM,HRM Racing,9,3,8,1,6,1,2,9,7,46
12, YKP,YKP Gdynia,8,1,8,8,5,3,6,2,6,47
13, YCG,Yacht Club Gdańsk,7,8,1,4,2,4.8 (RDG),7,6,9,48.8
14, YKL,Lubelskie YKP Lublin,3,5,3,9,7,6,5,5,9,52
15, SZT,Sztorm Grupa Warszawa,5,6,9,5,7,6,8,4,5,55
16, OKZ,Olsztyński Klub Żeglarski,6,4,5,8,4,9,6.8 (RDG),9,4,55.8
17, LEG,Legia Warszawa,3,9,7,9,4,7,6.3 (RDG),8,3,56.3
18, POL,Polsporty Sailing,4,7,9,7,6,5,6,6,8,58
