M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Σ
1, ONB,Onboard,4,9,5,1,1,1,1,4,6,1,2,5,5,3,48
2, SLA,Slava Racing,7,2,1,8,1,5,2,5,6,2,1,4,1,"3,5 (RDG)","48,5"
3, ISK,KS Iskra AMW Gdynia,2,2,3,5,4,2,6,2,2,10 (RET),3,6,1,1,49
4, NIE,KS Marina Niesulice,4,1,2,4,6,4,1,6,5,4,4,1,4,4,50
5, GAR,KW Garland Gliwice,2,5,4,2,2,5,9,1,3,1,6,3,3,10 (OCS),56
6, BSA,BSA Flota Gdynia,1,5,4,3,4,1,8,6,1,8,4,6,5,3,59
7, YKW,YKP Warszawa,9,9,6,2,6,9,3,1,5,2,2,5,2,1,62
8, MEC,Port Mechelinki,3,3,3,4,3,8,4,5,9,4,9,4,2,5,66
9, YCB,Yacht Club Białołęka,3,7,8,1,5,6,7,3,4,8,9,1,3,2,67
10, SZT,Sztorm Grupa Warszawa,1,8,1,6,5,7,7,4,4,7,7,3,10 (RET),4,74
11, PJK,Puchar Polski Jachtów Kabinowych,8,4,2,9,7,2,6,7,1,9,3,2,4,10 (OCS),74
12, JSG,MOWI Jachtklub Stoczni Gdańskiej,6,6,5,6,2,6,5,3,7,3,8,7,6,6,76
13, HAL,KŻ Hals Gostynin,9,3,7,8,7,4,3,2,2,6,5,8,8,5,77
14, ODY,Odyssey Sailing Club,5,1,9,3,8,3,4,9,11 (SCP),5,5,8,7,2,80
15, ETI,Etisoft 2KMM Sailing Team,7 (SCP),8,6,7,3,8,5,8,3,3,1,7,8,8,82
16, OKZ,Olsztyński Klub Żeglarski,7,6,7,5,9,3,2,8,7,5,7,9,7,"6,3 (RDG)","88,3"
17, YS2,Yacht Club Sopot 2,6,4,8,7,8,7,8,7,8,6,6,2,6,7,90
18, NAV,UKS Navigo,8,7,9,9,9,9,9,9,8,7,8,9,9,6,116
