M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,FNL,Σ
1,ISK,KS Iskra AMW Gdynia,2,6,2,3,2,1,1,4,21
2,ONB,Onboard,2,1,5,2,4,5,3,2,24
3,SZT,Sztorm Grupa Warszawa,3,2,1,7,3,3,2,8,29
4,BSA,BSA Flota Gdynia,3,2,6,5,3,2,6,3,30
5,NIE,KS Marina Niesulice,1,5,1,1,2,9,2,9,30
6,GAR,KW Garland Gliwice,4,1,2,1,10 (OCS),4,4,5,31
7,HAL,KŻ Hals Gostynin,5,7,9,4,1,1,8,1,36
8,YS2,Yacht Club Sopot 2,6,4,3,5,6,4,3,6,37
9,SLA,Slava Racing,1,9,4,2,1,3,13 (TLE + SCP,7,40
10,OKZ,Olsztyński Klub Żeglarski,5,4,6,8,5,5,4,,37
11,ODY,Odyssey Sailing Club,6,5,4,7,4,6,5,,37
12,YCB,Yacht Club Białołęka,7,3,10 (SCP),6,5,7,1,,39
13,MEC,Port Mechelinki,8,3,7,3,6,8,7,,42
14,YKW,YKP Warszawa,9,6,5,4,7,6,7,,44
15,NAV,UKS Navigo,4,9,10 (OCS),9,7,2,5,,46
16,ETI,Etisoft 2KMM Sailing Team,7,8,3,8,8,8,9,,51
17,JSG,MOWI Jachtklub Stoczni Gdańskiej,8,7,7,6,9,9,8,,54
18,PJK,Puchar Polski Jachtów Kabinowych,9,8,8,9,8,7,6,,55
