M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,FNL,Σ
1, SZT,Sztorm Grupa Warszawa,2,6,2,1,3,4,1,6,1,4,2,4,6,2,1,45
2, OKZ,Olsztyński Klub Żeglarski,1,3,4,1,1,7,6,2,6,7,3,3,2,3,8,57
3, JSG,MOWI Jachtklub Stoczni Gdańskiej,7,2,1,2,4,2,4,4,3,4,9,3,6,5,3,59
4, NIE,KS Marina Niesulice,4,9,2,2,2,5,3,3,2,3,10 (DNF),9,1,1,4,60
5, ONB,Onboard,5,1,3,9,9,4,5,2,1,5,5,1.5,1,4,6,61.5
6, ISK,KS Iskra AMW Gdynia,6,2,6,3,6,5,6,7,4,5,2,1,4,6,2,65
7, MEC,Port Mechelinki,7,4,13 (DSQ + SCP),4,2,1,2,5,6,6,1,9,3,1,5,69
8, YCB,Yacht Club Białołęka,1,5,1,8,9,1,7,4,7,8,5,2,5,2,7,72
9, SLA,Slava Racing,9,3,6,8,1,6,2,1,4,3,4,6,8,4,9,74
10, GAR,KW Garland Gliwice,3,6,7,3,7,9,5,7,5,6,1,5,2,3,1,70
11, NAV,UKS Navigo,8,1,4,7,4,3,3,1,8,1,7,6,9,7,10 (OCS),79
12, PJK,Puchar Polski Jachtów Kabinowych,5,8,5,6,6,9,4,8,8,2,3,1.5,9,8,2,84.5
13, BSA,BSA Flota Gdynia,8,8,5,4,3,6,8,5,9,1,4,5,3,7,10 (OCS),86
14, YKW,YKP Warszawa,9,4,3,6,5,3,7,3,7,2,8,4,7,9,10 (OCS),87
15, ODY,Odyssey Sailing Club,3,7,9,5,7,8,1,8,3,9,7,8,5,6,3,89
16, YS2,Yacht Club Sopot 2,2,7,8,7,7 (SCP),7,8,6,2,9,8,7,4,5,4,91
17, ETI,Etisoft 2KMM Sailing Team,6,5,7,5,8,2,9,9,5,8,6,7,7,9,5,98
18, HAL,KŻ Hals Gostynin,4,9,8,9,8,8,9,9,9,7,6,8,8,8,6,116
