M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,FNL,Σ
1,YCS,Yacht Club Sopot,4,5,1,4,1,2,1,5,23
2,YKS,YKP Szczecin,1,1,4,2,6,1,8,1,24
3,HRM,HRM Racing,1,3,4,3,7,2,5,6,31
4,SPO,Sport Vita Ski&Sail,3,2,3,7,2,1,8,7,33
5,POG,Pogoń Szczecin,7,7,2,2,5,5,2,3,33
6,NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,2,2,3,6,3,8,1,9,34
7,YKL,Lubelskie YKP Lublin,3,6,7,5,4,3,4,2,34
8,YCG,Yacht Club Gdańsk,6,10 (DNF),5,4,1,7,2,4,39
9,WAT,AZS WAT Warszawa,7,1,1,8,6,3,6,8,40
10,RSR,On Lemon Rockstars Racing,4,8,6,1,3,7,6,,35
11,YKP,YKP Gdynia,10 (OCS),4,2,5,7,4,3,,35
12,LEG,Legia Warszawa,8,9,6,1,2,5,7,,38
13,WRO,UKS Żeglarz Wrocław,2,6,8,6,8,6,4,,40
14,WOL,UKS Albatros Wolin,6,7,7,3,8,8,3,,42
15,AWF,AZS AWFiS Gdańsk,5,5,5,8,9,6,7,,45
16,KKZ,Kościański Klub Żeglarski,5,8,9,7,4,4,9,,46
17,OCC,Ocean Challenge Yacht Club,9,3,9,9,5,9,5,,49
18,PGR,AZS Politechnika Gdańska,8,4,8,9,10 (SCP),10 (DNF),9,,58
