M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,FNL,Σ
1,POG,Pogoń Szczecin,3,1,5,4,4,3,3,5,3,31
2,YKP,YKP Gdynia,5,6,3,2,2,1,6,2,6,33
3,HRM,HRM Racing,2,2,4,6,8,2,1,1,8,34
4,YCG,Yacht Club Gdańsk,2,4,7,1,1,5,4,4,7,35
5,LEG,Legia Warszawa,5,3,5,4,5,3,2,7,2,36
6,YKS,YKP Szczecin,6,5,1,2,7,7,5,3,1,37
7,YCS,Yacht Club Sopot,1,7,8,1,6,2,8,2,4,39
8,NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,4,1,2,3,4,6,9,8,5,42
9,RSR,On Lemon Rockstars Racing,4,8,3,5,2,6,7,1,9,45
10,WAT,AZS WAT Warszawa,3,2,1,5,8,8,2,9,,38
11,OCC,Ocean Challenge Yacht Club,1,5,10 (OCS),6,7,4,6,3,,42
12,AWF,AZS AWFiS Gdańsk,7,6,2,3,3,9,9,4,,43
13,YKL,Lubelskie YKP Lublin,8,9,4,9,6,1,3,5,,45
14,WOL,UKS Albatros Wolin,6,8,6,7,3,4,7,6,,47
15,WRO,UKS Żeglarz Wrocław,8,4,9,8,5,8,1,7,,50
16,SPO,Sport Vita Ski&Sail,7,7,7,9,1,5,8,6,,50
17,PGR,AZS Politechnika Gdańska,9,9,6,7,9,7,4,8,,59
18,KKZ,Kościański Klub Żeglarski,9,3,10 (OCS),8,9,9,5,9,,62
