M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,FNL,Σ
1,NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,1,1,3,6,7,3,2,1,4,2,1,31
2,WRO,UKS Żeglarz Wrocław,1,7,5,2,5,8,1,3,2,5,2,41
3,WAT,AZS WAT Warszawa,3,2,6,4,6,9,6,2,1,1,4,44
4,YKP,YKP Gdynia,5,5,4,3,1,5,9,2,7,4,3,48
5,YCS,Yacht Club Sopot,5,5,1,7,3,2,3,3,6,4,9,48
6,AWF,AZS AWFiS Gdańsk,6,8,1,3,8,1,4,7,5,5,5,53
7,YCG,Yacht Club Gdańsk,7,2,4 (SCP),5,1,8,1.5,1,7,9,8,53.5
8,SPO,Sport Vita Ski&Sail,2,6,8,1,2,4,5,5,8,8,6,55
9,RSR,On Lemon Rockstars Racing,2,1,9,2,6,6,7,5,4,7,7,56
10,WOL,UKS Albatros Wolin,4,4,2,1,3,7,8,7,5,8,,49
11,LEG,Legia Warszawa,6,3,6,7,7,4,3,8,2,3,,49
12,POG,Pogoń Szczecin,9,3,5,5,8,9,8,4,1,1,,53
13,HRM,HRM Racing,3,6,8 (SCP),9,9,3,4,6,3,2,,53
14,KKZ,Kościański Klub Żeglarski,4,7,7,4,2,5,7,6,9,7,,58
15,YKL,Lubelskie YKP Lublin,8,8,8,6,5,2,9,4,3,6,,59
16,YKS,YKP Szczecin,9,4,4,8,4,6,5,8,8,6,,62
17,OCC,Ocean Challenge Yacht Club,8,9,2,9,4,7,6,9,6,3,,63
18,PGR,AZS Politechnika Gdańska,7,9,9,8,9,1,1.5,9,9,9,,71.5
