M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,FNL,Σ
1,YCG,Yacht Club Gdańsk,2,4,1,1,1,5,6,5,1,1,2,1,1,8,9,48
2,YCS,Yacht Club Sopot,4,1,8,2,7,3.5,1,3,2,1,6,4,2,6,1,51.5
3,NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,1,7,1,3,5,2,3,1,3,6,8,1,3,6,2,52
4,YKL,Lubelskie YKP Lublin,1,2,2,4,2,9,5,4,5,8,3,3,3,1,4,56
5,POG,Pogoń Szczecin,5,3,6,6,3,4,7,6,3,2,1,3,6,3,3,61
6,PGR,AZS Politechnika Gdańska,9,6,2,5,2,2,2,3,7,4,7,5,5,4,5,68
7,SPO,Sport Vita Ski&Sail,7,2,4,3,6,6,4,8,1,4,4,4,4,5,6,68
8,RSR,On Lemon Rockstars Racing,5,5,3,2,9,3.5,2,2,7,3,2,9,2,9,7,70.5
9,AWF,AZS AWFiS Gdańsk,2,9,9,4,4,3,3,2,6,6,5,2,7,2,8,72
10,HRM,HRM Racing,3,9,5,1,6,9,1,6,8,9,3,2,4,1,2,69
11,WRO,FinGo Capital UKS Żeglarz Wrocław,3,3,8,7,4,1,9,7,8,5,4,8,1,3,3,74
12,LEG,Legia Warszawa,4,4,3,6,3,7,8,1,2,7,8,5,6,7,7,78
13,OCC,Ocean Challenge Yacht Club,7,5,4,5,9,5,5,5,6,5,1,6,5,8,6,82
14,WAT,AZS WAT Warszawa,6,7,6,7,8,1,4,8,4,3,5,7,8,5,5,84
15,YKS,YKP Szczecin,8,6,7,8,5,6,6,10 (OCS),4,7,6,6,7,2,1,89
16,WOL,UKS Albatros Wolin,8,1,5,8,1,8,9,4,9,2,9,8,9,4,8,93
17,YKP,YKP Gdynia,9,8,7,9,8,7,7,7,5,10 (OCS),9,7,9,9,4,115
18,KKZ,Kościański Klub Żeglarski,6,8,9,9,7,8,8,9,9,8,7,9,8,7,9,121
