ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
241195746,2024121,YCS,4.0,0,0
241295746,2024122,YCS,5.0,0,0
241395746,2024123,YCS,1.0,0,0
241495746,2024124,YCS,4.0,0,0
241595746,2024125,YCS,1.0,0,0
241695746,2024126,YCS,2.0,0,0
241795746,2024127,YCS,1.0,0,0
241095746,2024120,YCS,5.0,0,0
241118382,2024121,YKS,1.0,0,0
241218382,2024122,YKS,1.0,0,0
241318382,2024123,YKS,4.0,0,0
241418382,2024124,YKS,2.0,0,0
241518382,2024125,YKS,6.0,0,0
241618382,2024126,YKS,1.0,0,0
241718382,2024127,YKS,8.0,0,0
241018382,2024120,YKS,1.0,0,0
241111523,2024121,HRM,1.0,0,0
241211523,2024122,HRM,3.0,0,0
241311523,2024123,HRM,4.0,0,0
241411523,2024124,HRM,3.0,0,0
241511523,2024125,HRM,7.0,0,0
241611523,2024126,HRM,2.0,0,0
241711523,2024127,HRM,5.0,0,0
241011523,2024120,HRM,6.0,0,0
241140730,2024121,SPO,3.0,0,0
241240730,2024122,SPO,2.0,0,0
241340730,2024123,SPO,3.0,0,0
241440730,2024124,SPO,7.0,0,0
241540730,2024125,SPO,2.0,0,0
241640730,2024126,SPO,1.0,0,0
241740730,2024127,SPO,8.0,0,0
241040730,2024120,SPO,7.0,0,0
241129558,2024121,POG,7.0,0,0
241229558,2024122,POG,7.0,0,0
241329558,2024123,POG,2.0,0,0
241429558,2024124,POG,2.0,0,0
241529558,2024125,POG,5.0,0,0
241629558,2024126,POG,5.0,0,0
241729558,2024127,POG,2.0,0,0
241029558,2024120,POG,3.0,0,0
241143215,2024121,NSO,2.0,0,0
241243215,2024122,NSO,2.0,0,0
241343215,2024123,NSO,3.0,0,0
241443215,2024124,NSO,6.0,0,0
241543215,2024125,NSO,3.0,0,0
241643215,2024126,NSO,8.0,0,0
241743215,2024127,NSO,1.0,0,0
241043215,2024120,NSO,9.0,0,0
241148743,2024121,YKL,3.0,0,0
241248743,2024122,YKL,6.0,0,0
241348743,2024123,YKL,7.0,0,0
241448743,2024124,YKL,5.0,0,0
241548743,2024125,YKL,4.0,0,0
241648743,2024126,YKL,3.0,0,0
241748743,2024127,YKL,4.0,0,0
241048743,2024120,YKL,2.0,0,0
241183666,2024121,YCG,6.0,0,0
241283666,2024122,YCG,10.0,1,0
241383666,2024123,YCG,5.0,0,0
241483666,2024124,YCG,4.0,0,0
241583666,2024125,YCG,1.0,0,0
241683666,2024126,YCG,7.0,0,0
241783666,2024127,YCG,2.0,0,0
241083666,2024120,YCG,4.0,0,0
241116187,2024121,WAT,7.0,0,0
241216187,2024122,WAT,1.0,0,0
