M-sce,Skrót,Zespół,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Σ
1,WOL,UKS Albatros Wolin,2,3,1,6,8,2,2,1,1,5,3,34
2,YKW,YKP Warszawa,4,3,1,1,1,2,7,2,8,6,2,37
3,GAR,KW Garland,3,1,4,4,9,4,1,1,2,7,2,38
4,MAG,MAG Mechelinki,1,8,2,3,6,1,3,5,4,3,4,40
5,PGR,AZS Politechnika Gdańska,1,0,4,2,6,6,2,2,5,2,1,41
6,PRN,Fundacja Żeglarska PRO NAUTIS,3,7,8,2,3,3,1,4,3,3,6,43
7,OKZ,Olsztyński Klub Żeglarski,7,1,5,3,0,1,3,3,1,9,4,47
8,FLO,WKS Flota Gdynia,8,4,3,1,7,4,4,6,2,6,7,52
9,TXT,Texet – JKW Sailing Team,5,5,3,5,3,7,7,4,7,4,3,53
10,KKZ,Kościański Klub Żeglarski,5,7,2,4,5,7,5,7,0,1,1,54
11,SLA,Slava Racing,6,4,6,6,1,5,6,3,7,4,6,54
12,OGR,Olsztyńska Grupa Regatowa,2,2,5,8,2,8,8,6,3,2,8,54
13,YCB,Yacht Club Białołęka,7,6,9,8,4,6,4,5,4,1,5,59
14,TBD,The Barking Dogs YCG,9,2,6,5,2,3,6,7,6,8,8,62
15,HAL,KŻ Hals Gostynin,8,9,7,9,4,9,9,8,5,5,5,78
16,NAV,UKS Navigo,4,8,7,9,5,5,9,8,8,0,7,80
17,YS2,Yacht Club Sopot 2,9,6,8,7,7,9,5,9,6,7,9,82
18,JSG,MOWI Jacht Klub Stoczni Gdańskiej,6,5,9,7,8,8,8,9,0,8,9,87
