M-sce,Skrót,Zespól,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Fi 1,Σ
1,RSR,On Lemon Rockstars Racing,3,1,5,1,1,2,6,2.00,3,4,3,31
2,HRM,HRM Racing,2,1,1,6,3,6,2,3.00,1,8,2,35
3,YCG,Yacht Club Gdańsk,4,2,1,7,1,2,5,4.00,2,9,1,38
4,YKP,YKP Gdynia,1,5,2,3,2,7,5,1.00,4,3,5,38
5,POG,SEJK Pogoń Szczecin,4,3,4,8,4,1,4,5.00,4,5,10 (OCS),52
6,NIE,KS Marina Niesulice,1,4,5,3,8,8,1,8.00,7,4,4,53
7,YCS,Yacht Club Sopot,2,7,3,4,2,3,3,9.00,3,7,10 (OCS),53
8,AWF,AZS AWFiS Gdańsk,5,9,3,4,7,9,1,6.00,6,2,6,58
9,SZT,Sztorm Grupa,3,6,8,2,6,5,7,2.00,2,9,10 (OCS),60
10,ONB,Onboard,7,3,8,8,7,8,3,7.50,1,1,4,57.5
11,WRO,FinGo Capital UKS Żeglarz Wrocław,6,2,10,2,5,9,6,7.50,5,2,6,60.5
12,WAT,AZS WAT Warszawa,9,4,2,5,6,7,8,4.00,5,8,3,61
13,LEG,Legia Warszawa,6,9,7,1,3,1,4,9.00,9,6,8,63
14,SPO,Sport Vita Ski & Sail,8,7,9,9,8,3,9,1.00,7,1,2,64
15,ISK,KS Iskra AMW Gdynia,7,5,6,5,5,5,10,7.00,6,3,5,64
16,NSO,Nowy Sztynort Osada Wolności GGR,8,8,6,10,9,6,2,3.00,8,6,1,67
17,YKL,Lubelskie YKP Lublin,5,6,4,7,9,4,8,6.00,8,5,7,69
18,YKS,YKP Szczecin,9,8,7,6,4,4,7,5.00,9,7,10 (OCS),76
