M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Fi 1,Σ
1,PGR,AZS Politechnika Gdańska,5,5,1,4,2,1,1,3,1,1,1,2,7,34
2,INP,Inplag Sailing Team,4,1,2,2,1,8,3,1,4,7,3,1,1,38
3,HRM,HRM Racing,5,4,1,1,3,1,2,5,5,4,1,1,5,38
4,LAM,UKŻ Lamelka Kartuzy,2,3,5,1,1,6,2,2,3,5,5,4,3,42
5,AMW,KS Iskra AMW Gdynia,1,1,4,3,5,4,7,2,6,1,2,6,2,44
6,YCY,Yacht Club Gdańsk Youth,1,2,5,7,4,2,3,4,1,2,6,7,4,48
7,YCJ,Yacht Club Gdańsk Junior,4,6,2,2,5,8,1,3,7,3,3,2,6,52
8,MUS,Politechnika Morska Szczecin,3,4,7,5,3,2,5,1,6,3,4,5,,48
9,NAU,Nauticus Olsztyn,7,2,3,5,4,3,4,6,4,6,2,3,,49
10,YCS,Yacht Club Sopot,3,3,4,4,2,5,5,6,3,6,4,4,,49
11,RRS,Centrum Żeglarskie Szczecin,2,6,3,6,7,4,6,7,2,2,5,3,,53
12,OKZ,Olsztyński Klub Żeglarski,6,5,6,3,6,3,4,4,2,5,6,6,,56
13,MAG,MAG Mechelinki,6,7,6,6,6,8,6,5,5,4,7,5,,71
14,PRO,ProSport Caravela,8,8 (DNS),8,8,8,8,8,8,8,8,8,8 (DNS),,96
