Skrot,Kandydat_Nazwa,Liczba
77R,77racing Club,4
77R,77 Racing,4
AWF,AZS AWFiS Gdańsk,15
AWF,AZS AWF Gdańsk,4
DZY,PZKS Dżygit Białystok,8
DZY,PŻKS Dżygit Białystok,8
DZY,PŻKS Dźygit Białystok,4
DZY,PŻKS DŻYGIT Białystok,4
DZY,PZKS Dzygit Bialystok,4
ETI,Etisoft 2KMM Sailing Team,11
ETI,Etisoft Sailing Team Gliwice,4
ETI,Etisoft Sailing Team,1
GAR,KW Garland Gliwice,11
GAR,Miasto Gliwice KW Garland,4
GAR,KW Garland,4
GRP,Grupa Regatowa Powidz,8
GRP,TFE Grupa Regatowa Powidz,4
HAL,Klub Żeglarski Hals Gostynin,5
HAL,Klub Żeglarski HALS Gostynin,4
HAL,KŻ Hals Gostynin,3
HRM,HRM Racing,11
HRM,HRM Racing Yacht Club Gdańsk,4
JEZ,Yacht Club Jeziorak,4
JEZ,Jeziorak Yacht Club,4
JKKP,Jacht Klub Kamień Pomorski,4
JKKP,Jacht Klub Kamien Pomorski,4
JKM,JKM Gryf Gdynia,8
JKM,Jacht Klub Gryf Gdynia,6
JKM,Windward Jacht Klub Gryf Gdynia,4
JKM,Jachtklub Gryf Gdynia,1
JKW,Jachtklub Wielkopolski Poznań,4
JKW,HRM Racing JKW Poznań,4
JKW,Jacht Klub Wielkopolski Poznań,1
JSG,Jachtklub Stoczni Gdańskiej,20
JSG,MOWI Jachtklub Stoczni Gdańskiej,3
LAS,RKS Lasery Zegrze,12
LAS,Lasery Zegrze,4
MOS,MOS Ilawa,4
MOS,SailingEvent MOS Iława,3
MOS,MOS Iława,2
NAV,UKS Navigo,15
NAV,Interdoor UKS Navigo,4
OCC,Ocean Challenge Yacht Club,11
OCC,Ocean Challenge Yacht Club Ladies Sailing Team,4
OKZ,Olsztyński Klub Żeglarski,19
OKZ,Olsztynski Klub Zeglarski,8
PJK,Stowarzyszenie PPJK,12
PJK,Puchar Polski Jachtów Kabinowych,7
POG,SEJK Pogoń Szczecin,12
POG,Pogoń Szczecin,11
POG,SEJK Pogon Szczecin,4
RSR,On Lemon Rockstars Racing,7
RSR,Rockstars Racing,5
SZT,Sztorm Grupa,16
SZT,Sztorm Grupa Warszawa,11
TZR,DTP PMT TŻR Szczecin,4
TZR,PMT TZR Szczecin,4
YCB,Yacht Club Białołęka,7
YCB,Yacht Club Białołeka,4
YKP,Yacht Klub Polski Gdynia,12
YKP,YKP Gdynia,7
