Plik,Skrót,Nazwa
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,JKW,Jachtklub Wielkopolski Poznań
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,JKM,Jachtklub Gryf Gdynia
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,OST,Klub Żeglarski Ostróda
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,MUKZ,MUKŻ Bałtyk Mielno
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,GOR,KS Górnik Boguszowice
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,DZY,PŻKS Dźygit Białystok
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,HORN,KŻ Horn Kraków
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,JKW,Jachtklub Wielkopolski Poznań
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,GOR,KS Górnik Boguszowice
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,MUKZ,MUKŻ Bałtyk Mielno
