Skrot,Nazwa,ID_zestawienia_klubow,ID_wariantu_klubu
77R,77 Racing,9000,41603807
77R,77racing Club,9000,66803490
AK2,Akademia Żeglarstwa w Środzie Wielkopolskiej 2,9001,34267782
AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,9001,80070716
AMW,,9003,50479116
APO,Klub Żeglarski Auto Podlasie,9004,21491204
AWF,,9005,20193720
AWF,AZS AWF Gdańsk,9005,68504006
AWF,AZS AWFiS Gdańsk,9005,97015711
AWK,AWF Katowice,9006,93090089
AZS,AZS Poznań,9007,74137594
BLX,Balex YKP Gdynia,9106,70916580
BOL,Sailing Team Boleslawiec,9009,15125641
BSA,,9014,60722477
BSA,BSA Flota Gdynia,9014,82519192
DZY,PZKS Dzygit Bialystok,9011,80297127
DZY,PZKS Dżygit Białystok,9011,79672628
DZY,PŻKS Dźygit Białystok,9011,89507832
DZY,PŻKS DŻYGIT Białystok,9011,59238287
DZY,PŻKS Dżygit Białystok,9011,9816690
DZYGIT,PZKS DZYGIT,9011,52594151
ETI,,9013,82004599
ETI,Etisoft 2KMM Sailing Team,9013,59382754
ETI,Etisoft Sailing Team,9013,35832341
ETI,Etisoft Sailing Team Gliwice,9013,40632154
FLO,,9014,23168504
FLO,Jacht Klub Wielkopolski Flota Online,9014,74220210
GAR,,9015,66190843
GAR,KW Garland,9015,77996720
GAR,KW Garland Gliwice,9015,23628341
GAR,Miasto Gliwice KW Garland,9015,5178638
GGR,Giżycka Grupa Regatowa Nowy Sztynort Osada Wolności,9016,37537849
GIZ,Giżycka Grupa Regatowa,9016,84529515
GIŻ,Giżycka Grupa Regatowa,9016,54844888
GKZ,Procad GKŻ Gdańsk,9019,45812114
GOR,KS Górnik Boguszowice,9020,81612175
GR2,Grupa Regatowa Powidz 2,9021,64180386
GRP,Grupa Regatowa Powidz,9021,79941094
GRP,TFE Grupa Regatowa Powidz,9021,21863651
GRY,Jacht klub Gryf Gdynia,9023,61715106
GSP,Garden Space Sailing Club,9024,86806554
HAL,,9025,91023766
HAL,Klub Żeglarski HALS Gostynin,9025,56265761
HAL,Klub Żeglarski Hals Gostynin,9025,40580208
HAL,KŻ Hals Gostynin,9025,9193535
HEA,Hear Studio Sailing Team,9026,94355480
HORN,KŻ Horn Kraków,9027,47690965
HRM,,9028,93352367
HRM,HRM Racing,9028,12403011
HRM,HRM Racing Yacht Club Gdańsk,9028,57461405
INP,,9029,74138089
IS2,KS Iskra AMW Gdynia,9030,35915429
ISK,,9030,43499430
ISK,KS Iskra AMW Gdynia,9030,18767554
JEZ,Jeziorak Yacht Club,9032,37771013
JEZ,Yacht Club Jeziorak,9032,64568271
JK2,Jacht Klub Gryf Gdynia 2,9023,64995386
JKKP,Jacht Klub Kamien Pomorski,9034,10322675
JKKP,Jacht Klub Kamień Pomorski,9034,26565440
JKM,JKM Gryf Gdynia,9023,59890131
JKM,Jacht Klub Gryf Gdynia,9023,11014176
JKM,Jachtklub Gryf Gdynia,9023,81063693
JKM,Windward Jacht Klub Gryf Gdynia,9023,46283265
JKW,HRM Racing JKW Poznań,9036,28865392
JKW,Jacht Klub Wielkopolski Poznań,9036,79119715
JKW,Jachtklub Wielkopolski Poznań,9036,27807818
JMZ,JK Między Żaglami,9037,97519162
JNG,Junga Gdynia Olsztyński Klub Żeglarski,9038,96175326
JSG,,9039,95180475
JSG,Jachtklub Stoczni Gdańskiej,9039,20708529
JSG,MOWI Jachtklub Stoczni Gdańskiej,9039,80812925
KKZ,,9040,77605514
KKZ,Kościański Klub Żeglarski,9040,23474192
KPM,Klub Port Mechelinki,9041,33296652
KSO,Klub Żeglarski Ostróda,9042,60393129
LA2,Lasery Zegrze 2,9043,85320925
LAM,,9044,45182694
LAS,Lasery Zegrze,9043,73880943
LAS,RKS Lasery Zegrze,9043,15248730
LE2,Legia Warszawa 2,9046,28130866
LEG,,9046,75229146
LEG,Legia Warszawa,9046,31561187
LEGIA,Legia Warszawa,9046,76070737
MAG,,9041,35905966
MEC,,9041,62256617
MEC,Port Mechelinki,9041,14091040
MEW,Małe Elektrownie Wodne Micro Class,9051,35882268
MIC,Inex Green Micro Class,9051,8240115
