ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,47061427,SZT,2.0,0,0
,68179036,SZT,6.0,0,0
,69746706,SZT,2.0,0,0
,99153629,SZT,1.0,0,0
,12208248,SZT,3.0,0,0
,32454426,SZT,4.0,0,0
,04805377,SZT,1.0,0,0
,91951930,SZT,6.0,0,0
,39200759,SZT,1.0,0,0
,44969305,SZT,4.0,0,0
,01903620,SZT,2.0,0,0
,82739982,SZT,4.0,0,0
,92109710,SZT,6.0,0,0
,69460679,SZT,2.0,0,0
,81329685,SZT,1.0,0,0
,47061427,OKZ,1.0,0,0
,68179036,OKZ,3.0,0,0
,69746706,OKZ,4.0,0,0
,99153629,OKZ,1.0,0,0
,12208248,OKZ,1.0,0,0
,32454426,OKZ,7.0,0,0
,04805377,OKZ,6.0,0,0
,91951930,OKZ,2.0,0,0
,39200759,OKZ,6.0,0,0
,44969305,OKZ,7.0,0,0
,01903620,OKZ,3.0,0,0
,82739982,OKZ,3.0,0,0
,92109710,OKZ,2.0,0,0
,69460679,OKZ,3.0,0,0
,81329685,OKZ,8.0,0,0
,47061427,JSG,7.0,0,0
,68179036,JSG,2.0,0,0
,69746706,JSG,1.0,0,0
,99153629,JSG,2.0,0,0
,12208248,JSG,4.0,0,0
,32454426,JSG,2.0,0,0
,04805377,JSG,4.0,0,0
,91951930,JSG,4.0,0,0
,39200759,JSG,3.0,0,0
,44969305,JSG,4.0,0,0
,01903620,JSG,9.0,0,0
,82739982,JSG,3.0,0,0
,92109710,JSG,6.0,0,0
,69460679,JSG,5.0,0,0
,81329685,JSG,3.0,0,0
,47061427,NIE,4.0,0,0
,68179036,NIE,9.0,0,0
,69746706,NIE,2.0,0,0
,99153629,NIE,2.0,0,0
,12208248,NIE,2.0,0,0
,32454426,NIE,5.0,0,0
,04805377,NIE,3.0,0,0
,91951930,NIE,3.0,0,0
,39200759,NIE,2.0,0,0
,44969305,NIE,3.0,0,0
,01903620,NIE,13.0,1,0
,82739982,NIE,9.0,0,0
,92109710,NIE,1.0,0,0
,69460679,NIE,1.0,0,0
,81329685,NIE,4.0,0,0
,47061427,ONB,5.0,0,0
,68179036,ONB,1.0,0,0
,69746706,ONB,3.0,0,0
,99153629,ONB,9.0,0,0
,12208248,ONB,9.0,0,0
,32454426,ONB,4.0,0,0
,04805377,ONB,5.0,0,0
,91951930,ONB,2.0,0,0
,39200759,ONB,1.0,0,0
,44969305,ONB,5.0,0,0
,01903620,ONB,5.0,0,0
,82739982,ONB,1.5,0,0
,92109710,ONB,1.0,0,0
,69460679,ONB,4.0,0,0
,81329685,ONB,6.0,0,0
,47061427,ISK,6.0,0,0
,68179036,ISK,2.0,0,0
,69746706,ISK,6.0,0,0
,99153629,ISK,3.0,0,0
,12208248,ISK,6.0,0,0
,32454426,ISK,5.0,0,0
,04805377,ISK,6.0,0,0
,91951930,ISK,7.0,0,0
,39200759,ISK,4.0,0,0
,44969305,ISK,5.0,0,0
,01903620,ISK,2.0,0,0
,82739982,ISK,1.0,0,0
,92109710,ISK,4.0,0,0
,69460679,ISK,6.0,0,0
,81329685,ISK,2.0,0,0
,47061427,MEC,7.0,0,0
,68179036,MEC,4.0,0,0
,69746706,MEC,13.0,1,0
,99153629,MEC,4.0,0,0
,12208248,MEC,2.0,0,0
,32454426,MEC,1.0,0,0
,04805377,MEC,2.0,0,0
,91951930,MEC,5.0,0,0
,39200759,MEC,6.0,0,0
,44969305,MEC,6.0,0,0
,01903620,MEC,1.0,0,0
,82739982,MEC,9.0,0,0
,92109710,MEC,3.0,0,0
,69460679,MEC,1.0,0,0
,81329685,MEC,5.0,0,0
,47061427,YCB,1.0,0,0
,68179036,YCB,5.0,0,0
