ID_wyscigu,ID_Regat,Numer_wyscigu,Finalowy
19307584,73972099,1,False
52296235,73972099,2,False
27123262,73972099,3,False
34755141,73972099,4,False
41226239,73972099,5,False
69219877,73972099,6,False
37639906,73972099,7,False
98081661,73972099,8,False
01193193,73972099,9,False
87734031,73972099,10,False
79444346,73972099,11,False
06893400,73972099,12,False
71733352,73972099,13,False
52086385,73972099,14,False
35271001,73972099,15,False
01962757,73972099,16,False
27607797,73972099,17,False
40646197,73972099,18,False
48216381,73972099,19,False
00208659,73972099,20,False
85847624,73972099,21,False
66496201,73972099,22,False
46747004,73972099,23,False
88266934,73972099,24,False
10298396,73972099,25,False
92622703,73972099,26,False
