ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,58209963,OKZ,2.0,0,0
,13281479,OKZ,2.0,0,0
,19798054,OKZ,3.0,0,0
,87952500,OKZ,3.0,0,0
,49151689,OKZ,1.0,0,0
,24705282,OKZ,1.0,0,0
,10378819,OKZ,6.0,0,0
,16491276,OKZ,1.0,0,0
,50462640,OKZ,3.0,0,0
,65159415,OKZ,3.0,0,0
,94151827,OKZ,3.0,0,0
,75055046,OKZ,2.0,0,0
,94594180,OKZ,1.0,0,0
,58209963,LEG,1.0,0,0
,13281479,LEG,1.0,0,0
,19798054,LEG,1.0,0,0
,87952500,LEG,1.0,0,0
,49151689,LEG,5.0,0,0
,24705282,LEG,4.0,0,0
,10378819,LEG,2.0,0,0
,16491276,LEG,2.0,0,0
,50462640,LEG,1.0,0,0
,65159415,LEG,4.0,0,0
,94151827,LEG,4.0,0,0
,75055046,LEG,5.0,0,0
,94594180,LEG,2.0,0,0
,58209963,JEZ,3.0,0,0
,13281479,JEZ,5.0,0,0
,19798054,JEZ,3.0,0,0
,87952500,JEZ,2.0,0,0
,49151689,JEZ,2.0,0,0
,24705282,JEZ,3.0,0,0
,10378819,JEZ,2.0,0,0
,16491276,JEZ,2.0,0,0
,50462640,JEZ,1.0,0,0
,65159415,JEZ,1.0,0,0
,94151827,JEZ,2.0,0,0
,75055046,JEZ,4.0,0,0
,94594180,JEZ,6.0,0,0
,58209963,POG,2.0,0,0
,13281479,POG,3.0,0,0
,19798054,POG,1.0,0,0
,87952500,POG,1.0,0,0
,49151689,POG,1.0,0,0
,24705282,POG,1.0,0,0
,10378819,POG,5.0,0,0
,16491276,POG,3.0,0,0
,50462640,POG,5.0,0,0
,65159415,POG,4.0,0,0
,94151827,POG,3.0,0,0
,75055046,POG,3.0,0,0
,94594180,POG,5.0,0,0
,58209963,YCS,1.0,0,0
,13281479,YCS,2.0,0,0
,19798054,YCS,5.0,0,0
,87952500,YCS,4.0,0,0
,49151689,YCS,3.0,0,0
,24705282,YCS,3.0,0,0
,10378819,YCS,3.0,0,0
,16491276,YCS,7.0,1,0
,50462640,YCS,2.0,0,0
,65159415,YCS,1.0,0,0
,94151827,YCS,1.0,0,0
,75055046,YCS,4.0,0,0
,94594180,YCS,3.0,0,0
,58209963,ODY,3.0,0,0
,13281479,ODY,1.0,0,0
,19798054,ODY,5.0,0,0
,87952500,ODY,2.0,0,0
,49151689,ODY,7.0,1,0
,24705282,ODY,5.0,0,0
,10378819,ODY,1.0,0,0
,16491276,ODY,3.0,0,0
,50462640,ODY,2.0,0,0
,65159415,ODY,2.0,0,0
,94151827,ODY,4.0,0,0
,75055046,ODY,2.0,0,0
,94594180,ODY,2.0,0,0
,58209963,YC2,4.0,0,0
,13281479,YC2,5.0,0,0
,19798054,YC2,4.0,0,0
,87952500,YC2,6.0,0,0
,49151689,YC2,2.0,0,0
,24705282,YC2,2.0,0,0
,10378819,YC2,1.0,0,0
,16491276,YC2,3.4,0,0
,50462640,YC2,5.0,0,0
,65159415,YC2,3.0,0,0
,94151827,YC2,1.0,0,0
,75055046,YC2,1.0,0,0
,94594180,YC2,4.0,0,0
,58209963,JKM,5.0,0,0
,13281479,JKM,4.0,0,0
,19798054,JKM,4.0,0,0
,87952500,JKM,3.0,0,0
,49151689,JKM,3.0,0,0
,24705282,JKM,2.0,0,0
,10378819,JKM,4.0,0,0
,16491276,JKM,1.0,0,0
,50462640,JKM,3.0,0,0
,65159415,JKM,6.0,0,0
,94151827,JKM,5.0,0,0
,75055046,JKM,5.0,0,0
,94594180,JKM,1.0,0,0
,58209963,DZY,4.0,0,0
,13281479,DZY,3.0,0,0
,19798054,DZY,2.0,0,0
,87952500,DZY,5.0,0,0
,49151689,DZY,4.0,0,0
,24705282,DZY,5.0,0,0
,10378819,DZY,4.0,0,0
,16491276,DZY,5.0,0,0
,50462640,DZY,4.0,0,0
,65159415,DZY,5.0,0,0
,94151827,DZY,5.0,0,0
,75055046,DZY,1.0,0,0
,94594180,DZY,6.0,0,0
,58209963,WTZ,6.0,0,0
,13281479,WTZ,4.0,0,0
,19798054,WTZ,2.0,0,0
,87952500,WTZ,7.0,1,0
,49151689,WTZ,4.0,0,0
,24705282,WTZ,4.0,0,0
,10378819,WTZ,3.0,0,0
,16491276,WTZ,4.0,0,0
,50462640,WTZ,6.0,0,0
,65159415,WTZ,2.0,0,0
,94151827,WTZ,2.0,0,0
,75055046,WTZ,6.0,0,0
,94594180,WTZ,4.0,0,0
,58209963,ZEG,5.0,0,0
,13281479,ZEG,6.0,0,0
,19798054,ZEG,6.0,0,0
,87952500,ZEG,5.0,0,0
,49151689,ZEG,7.0,1,0
,24705282,ZEG,6.0,0,0
,10378819,ZEG,5.0,0,0
,16491276,ZEG,7.0,1,0
,50462640,ZEG,6.0,0,0
,65159415,ZEG,5.0,0,0
,94151827,ZEG,6.0,0,0
,75055046,ZEG,3.0,0,0
,94594180,ZEG,5.0,0,0
,58209963,BOL,6.0,0,0
,13281479,BOL,6.0,0,0
,19798054,BOL,6.0,0,0
,87952500,BOL,6.0,0,0
,49151689,BOL,6.0,0,0
,24705282,BOL,6.0,0,0
,10378819,BOL,6.0,0,0
,16491276,BOL,7.0,1,0
,50462640,BOL,4.0,0,0
,65159415,BOL,6.0,0,0
,94151827,BOL,6.0,0,0
,75055046,BOL,6.0,0,0
,94594180,BOL,3.0,0,0
