ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
28023907,81089183,YKP Szczecin,1.0,0,0
04323937,52440344,YKP Szczecin,1.0,0,0
80458358,60832562,YKP Szczecin,1.0,0,0
32982571,24226448,YKP Szczecin,4.0,0,0
84400618,71584881,YKP Szczecin,2.0,0,0
71952185,13012165,YKP Szczecin,2.0,0,0
82041476,06172875,YKP Szczecin,1.0,0,0
16262836,81089183,AZS Uniwersytet Warszawski,6.0,0,0
63202557,52440344,AZS Uniwersytet Warszawski,2.0,0,0
28827280,60832562,AZS Uniwersytet Warszawski,1.0,0,0
65887242,24226448,AZS Uniwersytet Warszawski,1.0,0,0
26090030,71584881,AZS Uniwersytet Warszawski,1.0,0,0
49156859,13012165,AZS Uniwersytet Warszawski,2.0,0,0
06355872,06172875,AZS Uniwersytet Warszawski,2.0,0,0
63496891,81089183,Olsztyński Klub Żeglarski,1.0,0,0
97006566,52440344,Olsztyński Klub Żeglarski,1.0,0,0
23392255,60832562,Olsztyński Klub Żeglarski,4.0,0,0
17779557,24226448,Olsztyński Klub Żeglarski,3.0,0,0
95040560,71584881,Olsztyński Klub Żeglarski,2.0,0,0
90602082,13012165,Olsztyński Klub Żeglarski,3.0,0,0
81909254,06172875,Olsztyński Klub Żeglarski,1.0,0,0
09174470,81089183,MOWI Women Sailing Team,2.0,0,0
79977964,52440344,MOWI Women Sailing Team,2.0,0,0
07480969,60832562,MOWI Women Sailing Team,2.0,0,0
87328062,24226448,MOWI Women Sailing Team,1.0,0,0
33491228,71584881,MOWI Women Sailing Team,4.0,0,0
50814451,13012165,MOWI Women Sailing Team,5.0,0,0
69753124,06172875,MOWI Women Sailing Team,4.0,0,0
60895079,81089183,Energa GGR,3.0,0,0
50965013,52440344,Energa GGR,3.0,0,0
76937181,60832562,Energa GGR,3.0,0,0
40384165,24226448,Energa GGR,2.0,0,0
46005783,71584881,Energa GGR,5.0,0,0
39278466,13012165,Energa GGR,1.0,0,0
45132204,06172875,Energa GGR,3.0,0,0
70715843,81089183,Regatowa Reprezentacja Szczecina,3.0,0,0
84532221,52440344,Regatowa Reprezentacja Szczecina,4.0,0,0
25022959,60832562,Regatowa Reprezentacja Szczecina,3.0,0,0
41691652,24226448,Regatowa Reprezentacja Szczecina,3.0,0,0
20718711,71584881,Regatowa Reprezentacja Szczecina,3.0,0,0
06710701,13012165,Regatowa Reprezentacja Szczecina,1.0,0,0
42191697,06172875,Regatowa Reprezentacja Szczecina,3.0,0,0
