ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,01688968,PGR,2.0,0,0
,81907497,PGR,3.0,0,0
,39502289,PGR,1.0,0,0
,70145776,PGR,1.0,0,0
,56687445,PGR,1.0,0,0
,47616182,PGR,4.0,0,0
,15291303,PGR,3.0,0,0
,82433893,PGR,3.0,0,0
,71513799,PGR,1.0,0,0
,94162489,PGR,2.0,0,0
,76558081,PGR,3.0,0,0
,01688968,YCJ,1.0,0,0
,81907497,YCJ,5.0,0,0
,39502289,YCJ,2.0,0,0
,70145776,YCJ,2.0,0,0
,56687445,YCJ,3.0,0,0
,47616182,YCJ,1.0,0,0
,15291303,YCJ,1.0,0,0
,82433893,YCJ,1.0,0,0
,71513799,YCJ,3.0,0,0
,94162489,YCJ,5.0,0,0
,76558081,YCJ,1.0,0,0
,01688968,AMW,5.0,0,0
,81907497,AMW,2.0,0,0
,39502289,AMW,1.0,0,0
,70145776,AMW,3.0,0,0
,56687445,AMW,2.0,0,0
,47616182,AMW,3.0,0,0
,15291303,AMW,4.0,0,0
,82433893,AMW,1.0,0,0
,71513799,AMW,1.0,0,0
,94162489,AMW,4.0,0,0
,76558081,AMW,2.0,0,0
,01688968,HRM,3.0,0,0
,81907497,HRM,2.0,0,0
,39502289,HRM,8.0,0,0
,70145776,HRM,1.0,0,0
,56687445,HRM,1.0,0,0
,47616182,HRM,1.0,0,0
,15291303,HRM,2.0,0,0
,82433893,HRM,7.0,0,0
,71513799,HRM,2.0,0,0
,94162489,HRM,1.0,0,0
,76558081,HRM,1.0,0,0
,01688968,OKZ,2.0,0,0
,81907497,OKZ,6.0,0,0
,39502289,OKZ,2.0,0,0
,70145776,OKZ,3.0,0,0
,56687445,OKZ,4.0,0,0
,47616182,OKZ,2.0,0,0
,15291303,OKZ,5.0,0,0
,82433893,OKZ,2.0,0,0
,71513799,OKZ,6.0,0,0
,94162489,OKZ,2.0,0,0
,76558081,OKZ,4.0,0,0
,01688968,LAM,1.0,0,0
,81907497,LAM,5.0,0,0
,39502289,LAM,3.0,0,0
,70145776,LAM,2.0,0,0
,56687445,LAM,2.0,0,0
,47616182,LAM,4.0,0,0
,15291303,LAM,4.0,0,0
,82433893,LAM,2.0,0,0
,71513799,LAM,4.0,0,0
,94162489,LAM,7.0,0,0
,76558081,LAM,5.0,0,0
,01688968,YCS,3.0,0,0
,81907497,YCS,1.0,0,0
,39502289,YCS,4.0,0,0
,70145776,YCS,4.0,0,0
,56687445,YCS,7.0,0,0
,47616182,YCS,5.0,0,0
,15291303,YCS,6.0,0,0
,82433893,YCS,3.0,0,0
,71513799,YCS,7.0,0,0
,94162489,YCS,1.0,0,0
,76558081,YCS,3.0,0,0
,01688968,INP,4.0,0,0
,81907497,INP,3.0,0,0
,39502289,INP,5.0,0,0
,70145776,INP,6.0,0,0
,56687445,INP,5.0,0,0
,47616182,INP,3.0,0,0
,15291303,INP,1.0,0,0
,82433893,INP,6.0,0,0
,71513799,INP,4.0,0,0
,94162489,INP,3.0,0,0
,76558081,INP,4.0,0,0
,01688968,NAU,8.0,0,0
,81907497,NAU,4.0,0,0
,39502289,NAU,6.0,0,0
,70145776,NAU,5.0,0,0
,56687445,NAU,7.0,0,0
,47616182,NAU,2.0,0,0
,15291303,NAU,5.0,0,0
,82433893,NAU,5.0,0,0
,71513799,NAU,2.0,0,0
,94162489,NAU,5.0,0,0
,76558081,NAU,2.0,0,0
,01688968,MUS,6.0,0,0
,81907497,MUS,1.0,0,0
,39502289,MUS,5.0,0,0
,70145776,MUS,6.0,0,0
,56687445,MUS,6.0,0,0
,47616182,MUS,6.0,0,0
,15291303,MUS,3.0,0,0
,82433893,MUS,4.0,0,0
,71513799,MUS,3.0,0,0
,94162489,MUS,3.0,0,0
,76558081,MUS,5.0,0,0
,01688968,YCY,7.0,0,0
,81907497,YCY,7.0,0,0
,39502289,YCY,3.0,0,0
,70145776,YCY,5.0,0,0
,56687445,YCY,3.0,0,0
,47616182,YCY,6.0,0,0
,15291303,YCY,2.0,0,0
,82433893,YCY,4.0,0,0
,71513799,YCY,5.0,0,0
,94162489,YCY,4.0,0,0
,76558081,YCY,7.0,0,0
,01688968,RRS,4.0,0,0
,81907497,RRS,4.0,0,0
,39502289,RRS,6.0,0,0
,70145776,RRS,4.0,0,0
,56687445,RRS,5.0,0,0
,47616182,RRS,5.0,0,0
,15291303,RRS,7.0,0,0
,82433893,RRS,5.0,0,0
,71513799,RRS,5.0,0,0
,94162489,RRS,6.0,0,0
,76558081,RRS,6.0,0,0
,01688968,MAG,6.0,0,0
,81907497,MAG,6.0,0,0
,39502289,MAG,7.0,0,0
,70145776,MAG,7.0,0,0
,56687445,MAG,4.0,0,0
,47616182,MAG,7.0,0,0
,15291303,MAG,7.0,0,0
,82433893,MAG,6.0,0,0
,71513799,MAG,6.0,0,0
,94162489,MAG,6.0,0,0
,76558081,MAG,6.0,0,0
,01688968,PRO,5.0,0,0
,81907497,PRO,7.0,0,0
,39502289,PRO,4.0,0,0
,70145776,PRO,7.0,0,0
,56687445,PRO,6.0,0,0
,47616182,PRO,7.0,0,0
,15291303,PRO,6.0,0,0
,82433893,PRO,7.0,0,0
,71513799,PRO,7.0,0,0
,94162489,PRO,7.0,0,0
,76558081,PRO,7.0,0,0
