ID_wyscigu,ID_Regat,Numer_wyscigu,Finalowy
1688968,41227949,1,False
81907497,41227949,2,False
39502289,41227949,3,False
70145776,41227949,4,False
56687445,41227949,5,False
47616182,41227949,6,False
15291303,41227949,7,False
82433893,41227949,8,False
71513799,41227949,9,False
94162489,41227949,10,False
76558081,41227949,11,False
36372050,28212392,1,False
28334227,28212392,2,False
88397903,28212392,3,False
42415719,28212392,4,False
75928300,28212392,5,False
67611200,28212392,6,False
43775929,28212392,7,False
25348582,28212392,8,False
83596217,28212392,9,False
6787167,28212392,10,False
9678100,28212392,11,False
85200521,28212392,12,False
98784130,86083690,1,False
96963062,86083690,2,False
7367295,86083690,3,False
45730985,86083690,4,False
2884984,86083690,5,False
77746840,86083690,6,False
55845574,86083690,7,False
49699340,86083690,8,False
93636816,86083690,9,False
18270010,86083690,10,False
73424024,86083690,11,False
27925577,86083690,12,False
