plik,poziom_z_folderu,klub
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,YKS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,OST
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,MUKZ
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,GOR
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,HORN
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,YKS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,GOR
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,MUKZ
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,KSO
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,YKS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,GOR
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,MUKZ
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,OST
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,YKW
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,YKS
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,GOR
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,GRY
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,OST
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,MUKZ
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,YKW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,RMR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,GKZ
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,PGR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,SZT
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,JKM
