ID_miejsca,ID_wyscigu,ID_wariantu_klubu,Zajete_miejsce,Kary,Numer_lodki
,96659478,88548085,1.0,0,0
,50088792,88548085,3.0,0,0
,67026703,88548085,2.0,0,0
,97242271,88548085,2.0,0,0
,37653993,88548085,1.0,0,0
,50593675,88548085,3.0,0,0
,72210553,88548085,4.0,0,0
,92684416,88548085,4.0,0,0
,01922482,88548085,9.0,0,0
,34839098,88548085,3.0,0,0
,82573058,88548085,3.0,0,0
,96659478,37025542,7.0,0,0
,50088792,37025542,1.0,0,0
,67026703,37025542,3.0,0,0
,97242271,37025542,6.0,0,0
,37653993,37025542,4.0,0,0
,50593675,37025542,1.0,0,0
,72210553,37025542,1.0,0,0
,92684416,37025542,1.0,0,0
,01922482,37025542,4.0,0,0
,34839098,37025542,4.0,0,0
,82573058,37025542,7.0,0,0
,96659478,89450984,8.0,0,0
,50088792,89450984,4.0,0,0
,67026703,89450984,2.0,0,0
,97242271,89450984,2.0,0,0
,37653993,89450984,2.0,0,0
,50593675,89450984,2.0,0,0
,72210553,89450984,2.0,0,0
,92684416,89450984,3.0,0,0
,01922482,89450984,3.0,0,0
,34839098,89450984,2.0,0,0
,82573058,89450984,5.0,0,0
,96659478,62941916,1.0,0,0
,50088792,62941916,2.0,0,0
,67026703,62941916,1.0,0,0
,97242271,62941916,4.0,0,0
,37653993,62941916,1.0,0,0
,50593675,62941916,4.0,0,0
,72210553,62941916,7.0,0,0
,92684416,62941916,9.0,0,0
,01922482,62941916,3.0,0,0
,34839098,62941916,5.0,0,0
,82573058,62941916,4.0,0,0
,96659478,68665036,3.0,0,0
,50088792,68665036,3.0,0,0
,67026703,68665036,1.0,0,0
,97242271,68665036,4.0,0,0
,37653993,68665036,7.0,0,0
,50593675,68665036,1.0,0,0
,72210553,68665036,2.0,0,0
,92684416,68665036,1.0,0,0
,01922482,68665036,8.0,0,0
,34839098,68665036,6.0,0,0
,82573058,68665036,7.0,0,0
,96659478,43499430,2.0,0,0
,50088792,43499430,8.0,0,0
,67026703,43499430,5.0,0,0
,97242271,43499430,3.0,0,0
,37653993,43499430,3.0,0,0
,50593675,43499430,3.0,0,0
,72210553,43499430,1.0,0,0
,92684416,43499430,8.0,0,0
,01922482,43499430,6.0,0,0
,34839098,43499430,2.0,0,0
,82573058,43499430,5.0,0,0
,96659478,99914577,5.0,0,0
,50088792,99914577,4.0,0,0
,67026703,99914577,4.0,0,0
,97242271,99914577,1.0,0,0
,37653993,99914577,7.0,0,0
,50593675,99914577,5.0,0,0
,72210553,99914577,3.0,0,0
,92684416,99914577,4.0,0,0
,01922482,99914577,5.0,0,0
,34839098,99914577,6.0,0,0
,82573058,99914577,2.0,0,0
,96659478,24653760,2.0,0,0
,50088792,24653760,6.0,0,0
,67026703,24653760,3.0,0,0
,97242271,24653760,6.0,0,0
,37653993,24653760,8.0,0,0
,50593675,24653760,2.0,0,0
,72210553,24653760,6.0,0,0
,92684416,24653760,2.0,0,0
,01922482,24653760,6.0,0,0
,34839098,24653760,7.0,0,0
,82573058,24653760,1.0,0,0
,96659478,02427462,5.0,0,0
,50088792,02427462,1.0,0,0
,67026703,02427462,9.0,0,0
,97242271,02427462,3.0,0,0
,37653993,02427462,2.0,0,0
,50593675,02427462,8.0,0,0
,72210553,02427462,9.0,0,0
,92684416,02427462,0.0,0,0
,01922482,02427462,1.0,0,0
,34839098,02427462,1.0,0,0
,82573058,02427462,3.0,0,0
,96659478,96948674,9.0,0,0
,50088792,96948674,5.0,0,0
,67026703,96948674,6.0,0,0
,97242271,96948674,1.0,0,0
,37653993,96948674,8.0,0,0
,50593675,96948674,5.0,0,0
,72210553,96948674,8.0,0,0
,92684416,96948674,5.0,0,0
,01922482,96948674,2.0,0,0
,34839098,96948674,4.0,0,0
,82573058,96948674,1.0,0,0
,96659478,16719099,6.0,0,0
,50088792,16719099,5.0,0,0
,67026703,16719099,7.0,0,0
,97242271,16719099,7.0,0,0
,37653993,16719099,9.0,0,0
,50593675,16719099,9.0,0,0
,72210553,16719099,6.0,0,0
,92684416,16719099,5.0,0,0
,01922482,16719099,2.0,0,0
,34839098,16719099,1.0,0,0
,82573058,16719099,4.0,0,0
,96659478,20193720,4.0,0,0
,50088792,20193720,8.0,0,0
,67026703,20193720,7.0,0,0
,97242271,20193720,8.0,0,0
,37653993,20193720,5.0,0,0
,50593675,20193720,7.0,0,0
,72210553,20193720,5.0,0,0
,92684416,20193720,7.0,0,0
,01922482,20193720,4.0,0,0
,34839098,20193720,3.0,0,0
,82573058,20193720,6.0,0,0
,96659478,93352367,6.0,0,0
,50088792,93352367,6.0,0,0
,67026703,93352367,4.0,0,0
,97242271,93352367,5.0,0,0
,37653993,93352367,5.0,0,0
,50593675,93352367,6.0,0,0
,72210553,93352367,5.0,0,0
,92684416,93352367,2.0,0,0
,01922482,93352367,1.0,0,0
,34839098,93352367,5.0,0,0
,82573058,93352367,0.0,0,0
,96659478,87312442,4.0,0,0
,50088792,87312442,2.0,0,0
,67026703,87312442,5.0,0,0
,97242271,87312442,7.0,0,0
,37653993,87312442,4.0,0,0
