ID_wynikRegat,regaty,klub,miejsceWRegatach
,99194464,YCG,1
,99194464,YKP,2
,99194464,WOL,3
,99194464,77R,4
,99194464,JSG,5
,99194464,JMZ,6
,99194464,AWF,7
,99194464,POW,8
,99194464,LAS,9
,90193164,YCG,1
,90193164,77R,2
,90193164,YKP,3
,90193164,WOL,4
,90193164,JSG,5
,90193164,AWF,6
,90193164,POW,7
,90193164,JMZ,8
,90193164,LAS,9
,39885461,YCG,1
,39885461,WOL,2
,39885461,77R,3
,39885461,JMZ,4
,39885461,YKP,5
,39885461,JSG,6
,39885461,AWF,7
,39885461,LAS,8
,39885461,POW,9
,16400118,YKP,1
,16400118,YCG,2
,16400118,AWF,3
,16400118,WOL,4
,16400118,JMZ,5
,16400118,77R,6
,16400118,JSG,7
,16400118,LAS,8
,16400118,POW,9
,96787646,YG2,1
,96787646,PJK,2
,96787646,SPO,3
,96787646,JMZ,4
,96787646,PGR,5
,96787646,JSG,6
,96787646,ODY,7
,96787646,LE2,8
,96787646,NAV,9
,96787646,LAS,10
,96787646,GAR,11
,96787646,POW,12
,61637084,SPO,1
,61637084,YG2,2
,61637084,GAR,3
,61637084,PJK,4
,61637084,JSG,5
,61637084,NAV,6
,61637084,PGR,7
,61637084,JMZ,8
,61637084,LAS,9
,61637084,LE2,10
,61637084,ODY,11
,61637084,POW,12
,11173302,YG2,1
,11173302,PGR,2
,11173302,PJK,3
,11173302,GAR,4
,11173302,ODY,5
,11173302,SPO,6
,11173302,JMZ,7
,11173302,JSG,8
,11173302,LAS,9
,11173302,NAV,10
,11173302,LE2,11
,11173302,POW,12
,56595466,YG2,1
,56595466,JMZ,2
,56595466,ODY,3
,56595466,NAV,4
,56595466,GAR,5
,56595466,SPO,6
,56595466,PJK,7
,56595466,JSG,8
,56595466,LAS,9
,56595466,PGR,10
,56595466,LE2,11
,56595466,POW,12
,79772225,WAT,1
,79772225,WRO,2
,79772225,YSZ,3
,79772225,HRM,4
,79772225,AWF,5
,79772225,NAV,6
,79772225,GSP,7
,79772225,NIE,8
,79772225,OCC,9
,79772225,KKZ,10
,79772225,GRP,11
,79772225,AKA,12
,79772225,RBP,13
,79772225,LE2,14
,79772225,ETI,15
,79772225,YS2,16
,79772225,LAS,17
,79772225,POW,18
,20201142,AWF,1
,20201142,WRO,2
,20201142,WAT,3
,20201142,YSZ,4
,20201142,NIE,5
,20201142,GRP,6
,20201142,HRM,7
,20201142,KKZ,8
,20201142,NAV,9
,20201142,YS2,10
,20201142,GSP,11
,20201142,AKA,12
,20201142,LAS,13
,20201142,LE2,14
,20201142,OCC,15
,20201142,ETI,16
,20201142,RBP,17
,20201142,POW,18
,96613811,YSZ,1
,96613811,AWF,2
,96613811,WRO,3
,96613811,WAT,4
,96613811,NAV,5
,96613811,HRM,6
,96613811,LE2,7
,96613811,NIE,8
,96613811,LAS,9
,96613811,GSP,10
,96613811,GRP,11
,96613811,YS2,12
,96613811,KKZ,13
,96613811,AKA,14
,96613811,ETI,15
,96613811,OCC,16
,96613811,RBP,17
,96613811,POW,18
,68966834,WAT,1
,68966834,AWF,2
,68966834,YSZ,3
,68966834,WRO,4
,68966834,GSP,5
,68966834,GRP,6
,68966834,KKZ,7
,68966834,HRM,8
,68966834,AKA,9
,68966834,NIE,10
,68966834,YS2,11
,68966834,OCC,12
,68966834,LE2,13
,68966834,LAS,14
,68966834,NAV,15
,68966834,RBP,16
,68966834,ETI,17
,68966834,POW,18
,31071604,YKL,1
,31071604,HRM,2
,31071604,RSR,3
,31071604,NAV,4
,31071604,YS2,5
,31071604,AKA,6
,31071604,POL,7
,31071604,GRP,8
,31071604,DZY,9
,31071604,KKZ,10
,31071604,JSG,11
,31071604,WOL,12
,31071604,SLA,13
,31071604,PJK,14
,31071604,OCC,15
,31071604,ETI,16
,31071604,LAS,17
,31071604,NIE,18
,59609769,RSR,1
,59609769,KKZ,2
,59609769,PJK,3
,59609769,NAV,4
,59609769,POL,5
,59609769,OCC,6
,59609769,YKL,7
,59609769,AKA,8
,59609769,HRM,9
,59609769,YS2,10
,59609769,NIE,11
,59609769,SLA,12
,59609769,JSG,13
,59609769,DZY,14
,59609769,WOL,15
,59609769,GRP,16
,59609769,LAS,17
,59609769,ETI,18
,51626046,HRM,1
,51626046,RSR,2
,51626046,POL,3
,51626046,YKL,4
,51626046,PJK,5
,51626046,KKZ,6
,51626046,YS2,7
,51626046,AKA,8
,51626046,JSG,9
,51626046,NIE,10
,51626046,SLA,11
,51626046,OCC,12
,51626046,ETI,13
,51626046,LAS,14
,51626046,DZY,15
,51626046,WOL,16
,51626046,NAV,17
,51626046,GRP,18
,72870325,HRM,1
,72870325,RSR,2
,72870325,OCC,3
,72870325,NIE,4
