plik,poziom_z_folderu,poziom_w_pliku_przed,akcja
./mnt/data/Regaty\2015\Ekstraklasa\Runda 1\2015 ekstraklasa - Szczecin.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2015\Ekstraklasa\Runda 2\2015 ekstraklasa - Świnoujście.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2015\Ekstraklasa\Runda 3\2015 ekstraklasa - Gdańsk.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2015\Ekstraklasa\Runda 4\2015 ekstraklasa - Sopot.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2016\Ekstraklasa\Runda 1\2016 ekstraklasa - Szczecin.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2017\Ekstraklasa\Runda 4\2017 ekstraklasa - Szczecin.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2018\Ekstraklasa\Runda 1\2018 ekstraklasa - Gdynia.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2018\Ekstraklasa\Runda 4\2018 ekstraklasa - Sopot.csv,Ekstraklasa,,created_poziom_ligi
./mnt/data/Regaty\2019\1Liga\Runda 1\2019 1 Liga - Sopot (1).csv,1 Liga,,created_poziom_ligi
./mnt/data/Regaty\2019\1Liga\Runda 2\2019 1 Liga - Sopot (2).csv,1 Liga,,created_poziom_ligi
./mnt/data/Regaty\2019\1Liga\Runda 3\2019 1 Liga - Szczecin (1).csv,1 Liga,,created_poziom_ligi
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,1 Liga,,created_poziom_ligi
