ID_wystepowania,ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
,24283626,1584594,37025542,,
,56799050,1584594,37025542,,
,69935946,1584594,59890131,,
,24283626,42322105,37025542,5,
,56799050,42322105,37025542,5,
,69935946,42322105,59890131,,
,18443374,42322105,99914577,1,
,24283626,73972099,37025542,2,
,56799050,73972099,37025542,2,
,69935946,73972099,59890131,,
,24283626,77100366,37025542,3,
,56799050,77100366,37025542,3,
,69935946,77100366,59890131,,
,18443374,77100366,99914577,4,
,96789971,34786669,80297127,8,
,11120520,34786669,22870948,7,
,9574951,34786669,87312442,4,
,69935946,34786669,59890131,,
,96789971,46476906,80297127,4,
,11120520,46476906,22870948,7,
,9574951,46476906,87312442,10,
,69935946,46476906,59890131,,
,96789971,59734039,80297127,,
,11120520,59734039,22870948,,
,9574951,59734039,87312442,,
,56799050,59734039,37025542,,
,69935946,59734039,59890131,,
,96789971,80803598,80297127,,
,71589137,80803598,4192131,,
,11120520,80803598,22870948,,
,9574951,80803598,87312442,,
,56799050,80803598,37025542,,
,69935946,80803598,59890131,,
,96789971,16861691,80297127,,
,71589137,16861691,75229146,,
,9574951,16861691,49016370,11,
,11120520,16861691,66479890,,
,24283626,16861691,37025542,3,
,56799050,16861691,37025542,3,
,69935946,16861691,59890131,,
,96789971,52984811,80297127,,
,71589137,52984811,75229146,,
,9574951,52984811,49016370,4,
,11120520,52984811,66479890,,
,24283626,52984811,37025542,5,
,69935946,52984811,59890131,,
,96789971,85326506,80297127,,
,71589137,85326506,75229146,,
,9574951,85326506,49016370,2,
,11120520,85326506,66479890,,
,24283626,85326506,37025542,1,
,56799050,85326506,37025542,1,
,69935946,85326506,59890131,,
,96789971,85657695,80297127,,
,71589137,85657695,75229146,,
,9574951,85657695,49016370,3,
,11120520,85657695,66479890,,
,24283626,85657695,37025542,1,
,56799050,85657695,37025542,1,
,69935946,85657695,59890131,,
,96789971,23503367,80297127,9,
,71589137,23503367,75229146,2,
,9574951,23503367,49016370,1,
,69935946,23503367,49016370,1,
,24283626,23503367,37025542,5,
,873413,23503367,37025542,5,
,56799050,23503367,37025542,5,
,96789971,42903369,80297127,9,
,71589137,42903369,75229146,3,
