ID_wystepowania,ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
,4400026,32915456,90735668,,
,75715925,32915456,90735668,,
,51135775,32915456,90735668,,
,32387267,32915456,90735668,,
,4400026,8389469,90735668,,
,75715925,8389469,90735668,,
,51135775,8389469,90735668,,
,80981802,8389469,90735668,,
,4400026,16432618,90735668,,
,51135775,16432618,90735668,,
,75715925,16432618,90735668,,
,70430857,16432618,90735668,,
,73659598,16432618,90735668,,
,52636159,32915456,18767554,,
,12556542,32915456,18767554,,
,45152375,32915456,18767554,,
,21888842,32915456,18767554,,
,44653036,32915456,18767554,,
,72268290,8389469,18767554,,
,36451684,8389469,18767554,,
,37387840,8389469,18767554,,
,44653036,8389469,18767554,,
,777080,16432618,18767554,,
,44653036,16432618,18767554,,
,61276643,16432618,18767554,,
,72268290,16432618,18767554,,
,96269851,16432618,18767554,,
,91863587,32915456,29673695,,
,69620680,32915456,29673695,,
,57215166,32915456,29673695,,
,21214499,32915456,29673695,,
,91863587,8389469,29673695,,
,69620680,8389469,29673695,,
,57215166,8389469,29673695,,
,68171968,8389469,29673695,,
,12556542,8389469,29673695,,
,91863587,16432618,29673695,,
,57215166,16432618,29673695,,
,21214499,16432618,29673695,,
,74344772,16432618,29673695,,
,86467729,32915456,59287240,,
,86467729,8389469,59287240,,
,69817650,8389469,59287240,,
,1644879,8389469,59287240,,
,278144,8389469,59287240,,
,86467729,16432618,59287240,,
,69817650,16432618,59287240,,
,1644879,16432618,59287240,,
,278144,16432618,59287240,,
,45949861,32915456,2968352,,
,54987655,32915456,2968352,,
,13642507,32915456,2968352,,
,46004647,32915456,2968352,,
,46004647,8389469,2968352,,
,54987655,8389469,2968352,,
,13642507,8389469,2968352,,
,45949861,8389469,2968352,,
,94551978,16432618,2968352,,
,64256891,16432618,2968352,,
,40654899,16432618,2968352,,
,52677651,16432618,2968352,,
,29990326,32915456,5178638,,
,64830763,32915456,5178638,,
,56072477,32915456,5178638,,
,72602300,32915456,5178638,,
,18250325,8389469,5178638,,
,72602300,8389469,5178638,,
,29990326,8389469,5178638,,
,64830763,8389469,5178638,,
,72602300,16432618,5178638,,
,64830763,16432618,5178638,,
,56072477,16432618,5178638,,
,4101856,16432618,5178638,,
,18250325,16432618,5178638,,
,75356731,32915456,20173236,,
,12532232,32915456,20173236,,
,35352911,32915456,20173236,,
,2211564,32915456,20173236,,
,75356731,8389469,20173236,,
,12532232,8389469,20173236,,
,35352911,8389469,20173236,,
,2211564,8389469,20173236,,
,35352911,16432618,20173236,,
,75356731,16432618,20173236,,
,2211564,16432618,20173236,,
,12532232,16432618,20173236,,
,34666788,32915456,23372296,,
,79939894,32915456,23372296,,
,33362571,8389469,23372296,,
,69220255,8389469,23372296,,
,24614586,8389469,23372296,,
,40617772,8389469,23372296,,
,40617772,16432618,23372296,,
,18000868,16432618,23372296,,
,24614586,16432618,23372296,,
,69220255,16432618,23372296,,
,78820173,32915456,80812925,,
,80272718,32915456,80812925,,
,67888989,32915456,80812925,,
,2508201,32915456,80812925,,
,95297254,32915456,80812925,,
,78820173,8389469,80812925,,
,80272718,8389469,80812925,,
,67888989,8389469,80812925,,
,21252972,8389469,80812925,,
,95297254,8389469,80812925,,
,78820173,16432618,80812925,,
,80272718,16432618,80812925,,
,67888989,16432618,80812925,,
,95297254,16432618,80812925,,
,2508201,16432618,80812925,,
,36667778,32915456,64521030,,
,5319081,32915456,64521030,,
,9194338,32915456,64521030,,
,66644175,32915456,64521030,,
,13277430,8389469,64521030,,
,66644175,8389469,64521030,,
,9194338,8389469,64521030,,
,36667778,8389469,64521030,,
,36667778,16432618,64521030,,
,9194338,16432618,64521030,,
,22978926,16432618,64521030,,
,11582532,16432618,64521030,,
,55499159,32915456,8699349,,
,75895759,32915456,8699349,,
,68743161,32915456,8699349,,
,808629,32915456,8699349,,
,73784029,8389469,8699349,,
,75895759,8389469,8699349,,
,68743161,8389469,8699349,,
,808629,8389469,8699349,,
,55499159,16432618,8699349,,
,68743161,16432618,8699349,,
,75895759,16432618,8699349,,
,79342556,16432618,8699349,,
,36327577,32915456,38352842,,
,74099061,32915456,38352842,,
,55009869,32915456,38352842,,
,21686906,32915456,38352842,,
,21686906,16432618,38352842,,
,55009869,16432618,38352842,,
,36327577,16432618,38352842,,
,88412954,16432618,38352842,,
,71770689,32915456,9193535,,
,5473020,32915456,9193535,,
,29400420,32915456,9193535,,
,64535522,32915456,9193535,,
,82130456,32915456,9193535,,
,22668771,32915456,9193535,,
,71770689,8389469,9193535,,
,5473020,8389469,9193535,,
,29400420,8389469,9193535,,
,64535522,8389469,9193535,,
,71770689,16432618,9193535,,
,64535522,16432618,9193535,,
,29400420,16432618,9193535,,
,22668771,16432618,9193535,,
,5473020,16432618,9193535,,
,9574951,32915456,14947601,,
,32257615,32915456,14947601,,
,10463259,32915456,14947601,,
,86471428,32915456,14947601,,
,34286614,32915456,14947601,,
,9574951,8389469,14947601,,
,32257615,8389469,14947601,,
,10463259,8389469,14947601,,
,34286614,8389469,14947601,,
,32257615,16432618,14947601,,
,9574951,16432618,14947601,,
,10463259,16432618,14947601,,
,34286614,16432618,14947601,,
,42855232,16432618,14947601,,
,50158144,8389469,14091040,,
,56573294,8389469,14091040,,
,77066399,8389469,14091040,,
,30063637,8389469,14091040,,
,52924222,8389469,14091040,,
,52924222,16432618,14091040,,
,45454244,16432618,14091040,,
,50158144,16432618,14091040,,
,56573294,16432618,14091040,,
,77066399,16432618,14091040,,
,52636159,32915456,82519192,,
,12556542,32915456,82519192,,
,45152375,32915456,82519192,,
,21888842,32915456,82519192,,
,52636159,8389469,82519192,,
,22260089,8389469,82519192,,
,45152375,8389469,82519192,,
,21888842,8389469,82519192,,
,21031157,8389469,82519192,,
,52636159,16432618,82519192,,
,45152375,16432618,82519192,,
,42113934,16432618,82519192,,
,21888842,16432618,82519192,,
,22260089,16432618,82519192,,
,90576417,32915456,40632154,,
,13869028,32915456,40632154,,
,62400020,32915456,40632154,,
,94116342,32915456,40632154,,
,57978966,8389469,40632154,,
,13869028,8389469,40632154,,
,62400020,8389469,40632154,,
,94116342,8389469,40632154,,
,90576417,16432618,40632154,,
,13869028,16432618,40632154,,
,62400020,16432618,40632154,,
,94116342,16432618,40632154,,
,34760913,32915456,77440855,,
,73294576,32915456,77440855,,
,80354773,32915456,77440855,,
,8499409,32915456,77440855,,
,34760913,8389469,77440855,,
,64580098,8389469,77440855,,
,8499409,8389469,77440855,,
,22682175,8389469,77440855,,
,73294576,16432618,77440855,,
,64580098,16432618,77440855,,
,34760913,16432618,77440855,,
,8499409,16432618,77440855,,
