Zawodnik,Skrot,rok,numer_rundy,poziom_ligi,regaty
Pola Kostuch,ASTARA LUN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Zuzanna Glinkowska,ASTARA LUN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Małgorzata Kardynia,ASTARA LUN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Magdalena Sobieszuk,ASTARA LUN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Julia Schmidt,ASTARA SOL,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Magdalena Gałek,ASTARA SOL,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Aleksandra Jastrzębska,ASTARA SOL,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Dorota Pajączkowska,ASTARA SOL,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agnieszka Pawłowska,AZS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Iza Satrjan,AZS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Oliwia Jekiel,AZS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Weronika Marszalik,AZS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Anna Zwara,AZS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Ada Osińska,ENEA SPORT,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Maria Kurant,ENEA SPORT,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agnieszka Klimaszyk,ENEA SPORT,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Anna Kamińska-Skrzypczak,ENEA SPORT,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Maja Remizowicz,MOWI,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agata Cieśla,MOWI,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Kaja Morawiec,MOWI,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Natalia Ruwińska,MOWI,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Daria Łobasiuk,MOWI,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Maja Kuczmińska,SAILŻE TEA,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Marta Malczewska,SAILŻE TEA,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Paulina Placzke,SAILŻE TEA,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Ewa Turzyma-Patocka,SAILŻE TEA,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Asia Cymerman,YCG,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Dominika Ołowiak,YCG,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Antonina Ołowiak,YCG,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Ola Bobrowska,YCG,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Julia Szmit,SZTORM GRU,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agnieszka Łapińska,SZTORM GRU,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Kaja Fidecka,SZTORM GRU,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Oliwia Laskowska,SZTORM GRU,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Julia Groth,THE BARKIN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Karolina Sołtaniuk,THE BARKIN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Karolina Żurek,THE BARKIN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agata Barwińska,THE BARKIN,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Ewa Lewandowska,4F,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Alicja Tutkowska,4F,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Maja Woźnicka,4F,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Julia Żmudzińska,4F,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Weronika Jaroszek,YACHT CLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Julia Rogalska,YACHT CLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Lilly May Niezabitowska,YACHT CLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Lidia Sulikowska,YACHT CLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Edyta Więcek,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agnieszka Marach,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agata Węgrzyniak,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Joanna Wróblewska,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Agnieszka Skrzypulec-Szota,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Katarzyna Barabasz,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Wiktoria Gołębiowska,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Hanna Dzik,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Anna Brzozowska,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Gosia Kościuczuk,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Milena Maciuszko,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Iga Petri,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Gosia Wojtysiak,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Joanna Rumplewicz,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Anna Miller,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Anna Majewska,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Karolina Kucel,YACHT KLUB,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Aleksandra Melzacka,YKP,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Miriam Trzcińska,YKP,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Ewa Bartosiewicz,YKP,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Magdalena Skórnóg,YKP,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Kasia Goralska,YKP,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Natasza Micewicz,YRS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Nina Janowicz,YRS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Aniela Frąckowiak,YRS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
Iryna Ilina,YRS,2025,2025,Ekstraklasa,Mistrzostwa Kobiet
