ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,WynikWRegatach,Poziom_Ligi,Rok,Runda,Regaty_wybrane,Zawodnik
25483015,18443374,77100366,YKS,4,Ekstraklasa,2015,1,Szczecin,Maciej Cylupa
20040893,24283626,77100366,YCS,3,Ekstraklasa,2015,1,Szczecin,Paweł Górski
85312672,56799050,77100366,YCS,3,Ekstraklasa,2015,1,Szczecin,Rafał Sawicki
51347262,18443374,42322105,YKS,1,Ekstraklasa,2015,2,Świnoujście,Maciej Cylupa
9362454,24283626,42322105,YCS,5,Ekstraklasa,2015,2,Świnoujście,Paweł Górski
94428566,56799050,42322105,YCS,5,Ekstraklasa,2015,2,Świnoujście,Rafał Sawicki
53788236,24283626,73972099,YCS,2,Ekstraklasa,2015,3,Gdańsk,Paweł Górski
89657293,56799050,73972099,YCS,2,Ekstraklasa,2015,3,Gdańsk,Rafał Sawicki
77777508,11120520,46476906,PGR,7,Ekstraklasa,2016,1,Szczecin,Kacper Olszewski
71977773,96789971,46476906,DZY,4,Ekstraklasa,2016,1,Szczecin,Maciek Garniewski
3107205,9574951,46476906,SZT,10,Ekstraklasa,2016,1,Szczecin,Szymon Jabłkowski
53535913,11120520,34786669,PGR,7,Ekstraklasa,2016,2,Świnoujście,Kacper Olszewski
38974377,96789971,34786669,DZY,8,Ekstraklasa,2016,2,Świnoujście,Maciek Garniewski
90819862,9574951,34786669,SZT,4,Ekstraklasa,2016,2,Świnoujście,Szymon Jabłkowski
85020096,24283626,16861691,YCS,3,Ekstraklasa,2017,1,Sopot,Paweł Górski
62966316,9574951,16861691,OKZ,11,Ekstraklasa,2017,1,Sopot,Szymon Jabłkowski
52064932,24283626,52984811,YCS,5,Ekstraklasa,2017,2,Świnoujście,Paweł Górski
8340038,9574951,52984811,OKZ,4,Ekstraklasa,2017,2,Świnoujście,Szymon Jabłkowski
78516895,24283626,85657695,YCS,1,Ekstraklasa,2017,3,Gdynia,Paweł Górski
51662740,9574951,85657695,OKZ,3,Ekstraklasa,2017,3,Gdynia,Szymon Jabłkowski
