ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,WynikWRegatach,Poziom_Ligi,Rok,Runda,Regaty_wybrane,Zawodnik
31956845,24283626,1584594,YCS,,Ekstraklasa,2015,4,Sopot,Paweł Górski
55747467,56799050,1584594,YCS,,Ekstraklasa,2015,4,Sopot,Rafał Sawicki
50349620,69935946,1584594,JKM,,Ekstraklasa,2015,4,Sopot,Wiktor Plitko
9362454,24283626,42322105,YCS,5,Ekstraklasa,2015,2,Świnoujście,Paweł Górski
94428566,56799050,42322105,YCS,5,Ekstraklasa,2015,2,Świnoujście,Rafał Sawicki
56937840,69935946,42322105,JKM,,Ekstraklasa,2015,2,Świnoujście,Wiktor Plitko
51347262,18443374,42322105,YKS,1,Ekstraklasa,2015,2,Świnoujście,Maciej Cylupa
53788236,24283626,73972099,YCS,2,Ekstraklasa,2015,3,Gdańsk,Paweł Górski
89657293,56799050,73972099,YCS,2,Ekstraklasa,2015,3,Gdańsk,Rafał Sawicki
99835596,69935946,73972099,JKM,,Ekstraklasa,2015,3,Gdańsk,Wiktor Plitko
20040893,24283626,77100366,YCS,3,Ekstraklasa,2015,1,Szczecin,Paweł Górski
85312672,56799050,77100366,YCS,3,Ekstraklasa,2015,1,Szczecin,Rafał Sawicki
3925925,69935946,77100366,JKM,,Ekstraklasa,2015,1,Szczecin,Wiktor Plitko
25483015,18443374,77100366,YKS,4,Ekstraklasa,2015,1,Szczecin,Maciej Cylupa
38974377,96789971,34786669,DZY,8,Ekstraklasa,2016,2,Świnoujście,Maciek Garniewski
53535913,11120520,34786669,PGR,7,Ekstraklasa,2016,2,Świnoujście,Kacper Olszewski
90819862,9574951,34786669,SZT,4,Ekstraklasa,2016,2,Świnoujście,Szymon Jabłkowski
39325944,69935946,34786669,JKM,,Ekstraklasa,2016,2,Świnoujście,Wiktor Plitko
71977773,96789971,46476906,DZY,4,Ekstraklasa,2016,1,Szczecin,Maciek Garniewski
77777508,11120520,46476906,PGR,7,Ekstraklasa,2016,1,Szczecin,Kacper Olszewski
3107205,9574951,46476906,SZT,10,Ekstraklasa,2016,1,Szczecin,Szymon Jabłkowski
64915796,69935946,46476906,JKM,,Ekstraklasa,2016,1,Szczecin,Wiktor Plitko
20034853,96789971,59734039,DZY,,Ekstraklasa,2016,3,,Maciek Garniewski
17047614,11120520,59734039,PGR,,Ekstraklasa,2016,3,,Kacper Olszewski
92156023,9574951,59734039,SZT,,Ekstraklasa,2016,3,,Szymon Jabłkowski
67340106,56799050,59734039,YCS,,Ekstraklasa,2016,3,,Rafał Sawicki
28545800,69935946,59734039,JKM,,Ekstraklasa,2016,3,,Wiktor Plitko
32609140,96789971,80803598,DZY,,Ekstraklasa,2016,4,,Maciek Garniewski
94748776,71589137,80803598,RMR,,Ekstraklasa,2016,4,,Jakub Pawluk
11154745,11120520,80803598,PGR,,Ekstraklasa,2016,4,,Kacper Olszewski
73713754,9574951,80803598,SZT,,Ekstraklasa,2016,4,,Szymon Jabłkowski
33445385,56799050,80803598,YCS,,Ekstraklasa,2016,4,,Rafał Sawicki
90000722,69935946,80803598,JKM,,Ekstraklasa,2016,4,,Wiktor Plitko
52101268,96789971,16861691,DZY,,Ekstraklasa,2017,1,Sopot,Maciek Garniewski
75680683,71589137,16861691,LEG,,Ekstraklasa,2017,1,Sopot,Jakub Pawluk
62966316,9574951,16861691,OKZ,11,Ekstraklasa,2017,1,Sopot,Szymon Jabłkowski
33831707,11120520,16861691,TZR,,Ekstraklasa,2017,1,Sopot,Kacper Olszewski
85020096,24283626,16861691,YCS,3,Ekstraklasa,2017,1,Sopot,Paweł Górski
61660385,56799050,16861691,YCS,3,Ekstraklasa,2017,1,Sopot,Rafał Sawicki
44963427,69935946,16861691,JKM,,Ekstraklasa,2017,1,Sopot,Wiktor Plitko
69417018,96789971,52984811,DZY,,Ekstraklasa,2017,2,Świnoujście,Maciek Garniewski
26142062,71589137,52984811,LEG,,Ekstraklasa,2017,2,Świnoujście,Jakub Pawluk
8340038,9574951,52984811,OKZ,4,Ekstraklasa,2017,2,Świnoujście,Szymon Jabłkowski
35757828,11120520,52984811,TZR,,Ekstraklasa,2017,2,Świnoujście,Kacper Olszewski
52064932,24283626,52984811,YCS,5,Ekstraklasa,2017,2,Świnoujście,Paweł Górski
26265663,69935946,52984811,JKM,,Ekstraklasa,2017,2,Świnoujście,Wiktor Plitko
22750742,96789971,85326506,DZY,,Ekstraklasa,2017,4,Szczecin,Maciek Garniewski
33974200,71589137,85326506,LEG,,Ekstraklasa,2017,4,Szczecin,Jakub Pawluk
24317287,9574951,85326506,OKZ,2,Ekstraklasa,2017,4,Szczecin,Szymon Jabłkowski
77299865,11120520,85326506,TZR,,Ekstraklasa,2017,4,Szczecin,Kacper Olszewski
21945599,24283626,85326506,YCS,1,Ekstraklasa,2017,4,Szczecin,Paweł Górski
63410396,56799050,85326506,YCS,1,Ekstraklasa,2017,4,Szczecin,Rafał Sawicki
82915514,69935946,85326506,JKM,,Ekstraklasa,2017,4,Szczecin,Wiktor Plitko
81208660,96789971,85657695,DZY,,Ekstraklasa,2017,3,Gdynia,Maciek Garniewski
84993711,71589137,85657695,LEG,,Ekstraklasa,2017,3,Gdynia,Jakub Pawluk
51662740,9574951,85657695,OKZ,3,Ekstraklasa,2017,3,Gdynia,Szymon Jabłkowski
42484368,11120520,85657695,TZR,,Ekstraklasa,2017,3,Gdynia,Kacper Olszewski
78516895,24283626,85657695,YCS,1,Ekstraklasa,2017,3,Gdynia,Paweł Górski
17252582,56799050,85657695,YCS,1,Ekstraklasa,2017,3,Gdynia,Rafał Sawicki
35825123,69935946,85657695,JKM,,Ekstraklasa,2017,3,Gdynia,Wiktor Plitko
77551023,96789971,23503367,DZY,9,Ekstraklasa,2018,4,Sopot,Maciek Garniewski
13248866,71589137,23503367,LEG,2,Ekstraklasa,2018,4,Sopot,Jakub Pawluk
3235994,9574951,23503367,OKZ,1,Ekstraklasa,2018,4,Sopot,Szymon Jabłkowski
48321193,69935946,23503367,OKZ,1,Ekstraklasa,2018,4,Sopot,Wiktor Plitko
60077643,24283626,23503367,YCS,5,Ekstraklasa,2018,4,Sopot,Paweł Górski
99396663,873413,23503367,YCS,5,Ekstraklasa,2018,4,Sopot,Przemek Chlebowski
29805664,56799050,23503367,YCS,5,Ekstraklasa,2018,4,Sopot,Rafał Sawicki
35339260,96789971,42903369,DZY,9,Ekstraklasa,2018,2,Szczecin,Maciek Garniewski
76239429,71589137,42903369,LEG,3,Ekstraklasa,2018,2,Szczecin,Jakub Pawluk
81567902,9574951,42903369,OKZ,4,Ekstraklasa,2018,2,Szczecin,Szymon Jabłkowski
68837502,69935946,42903369,OKZ,4,Ekstraklasa,2018,2,Szczecin,Wiktor Plitko
54047366,24283626,42903369,YCS,8,Ekstraklasa,2018,2,Szczecin,Paweł Górski
50462228,96789971,76884717,DZY,5,Ekstraklasa,2018,1,Gdynia,Maciek Garniewski
15898698,71589137,76884717,LEG,7,Ekstraklasa,2018,1,Gdynia,Jakub Pawluk
92677390,22785032,76884717,OKZ,2,Ekstraklasa,2018,1,Gdynia,Bartosz Sadowski
67032202,69935946,76884717,OKZ,2,Ekstraklasa,2018,1,Gdynia,Wiktor Plitko
20299760,24283626,76884717,YCS,6,Ekstraklasa,2018,1,Gdynia,Paweł Górski
9030509,96789971,79990660,DZY,11,Ekstraklasa,2018,3,Świnoujście,Maciek Garniewski
