Zawodnik,ID_klubu,rok,regaty,numer rundy,poziom_ligi
Maciej Cylupa,YKS,2015,Szczecin,1,Ekstraklasa
Paweł Górski,YCS,2015,Szczecin,1,Ekstraklasa
Rafał Sawicki,YCS,2015,Szczecin,1,Ekstraklasa
Wiktor Plitko,YKM,2015,Szczecin,1,Ekstraklasa
Maciej Cylupa,YKS,2015,Świnoujście,2,Ekstraklasa
Paweł Górski,YCS,2015,Świnoujście,2,Ekstraklasa
Rafał Sawicki,YCS,2015,Świnoujście,2,Ekstraklasa
Wiktor Plitko,YKM,2015,Świnoujście,2,Ekstraklasa
Paweł Górski,YCS,2015,Gdańsk,3,Ekstraklasa
Rafał Sawicki,YCS,2015,Gdańsk,3,Ekstraklasa
Wiktor Plitko,YKM,2015,Gdańsk,3,Ekstraklasa
Paweł Górski,YCS,2015,Sopot,4,Ekstraklasa
Rafał Sawicki,YCS,2015,Sopot,4,Ekstraklasa
Wiktor Plitko,YKM,2015,Sopot,4,Ekstraklasa
Kacper Olszewski,PGR,2016,Szczecin,1,Ekstraklasa
Maciek Garniewski,DZY,2016,Szczecin,1,Ekstraklasa
Szymon Jabłkowski,SZT,2016,Szczecin,1,Ekstraklasa
Wiktor Plitko,YKM,2016,Szczecin,1,Ekstraklasa
Kacper Olszewski,PGR,2016,Świnoujście,2,Ekstraklasa
Maciek Garniewski,DZY,2016,Świnoujście,2,Ekstraklasa
Szymon Jabłkowski,SZT,2016,Świnoujście,2,Ekstraklasa
Wiktor Plitko,YKM,2016,Świnoujście,2,Ekstraklasa
Jakub Pawluk,LEG,2017,Sopot,1,Ekstraklasa
Kacper Olszewski,PMT TŻR Szczecin,2017,Sopot,1,Ekstraklasa
Maciek Garniewski,DZY,2017,Sopot,1,Ekstraklasa
Paweł Górski,YCS,2017,Sopot,1,Ekstraklasa
Rafał Sawicki,YKP,2017,Sopot,1,Ekstraklasa
Szymon Jabłkowski,OKZ,2017,Sopot,1,Ekstraklasa
Wiktor Plitko,YKM,2017,Sopot,1,Ekstraklasa
Jakub Pawluk,LEG,2017,Świnoujście,2,Ekstraklasa
Kacper Olszewski,PMT TŻR Szczecin,2017,Świnoujście,2,Ekstraklasa
Maciek Garniewski,DZY,2017,Świnoujście,2,Ekstraklasa
Paweł Górski,YCS,2017,Świnoujście,2,Ekstraklasa
Szymon Jabłkowski,OKZ,2017,Świnoujście,2,Ekstraklasa
Wiktor Plitko,YKM,2017,Świnoujście,2,Ekstraklasa
Jakub Pawluk,LEG,2017,Gdynia,3,Ekstraklasa
Kacper Olszewski,PMT TŻR Szczecin,2017,Gdynia,3,Ekstraklasa
Maciek Garniewski,DZY,2017,Gdynia,3,Ekstraklasa
Paweł Górski,YCS,2017,Gdynia,3,Ekstraklasa
Rafał Sawicki,YKP,2017,Gdynia,3,Ekstraklasa
Szymon Jabłkowski,OKZ,2017,Gdynia,3,Ekstraklasa
Wiktor Plitko,YKM,2017,Gdynia,3,Ekstraklasa
Jakub Pawluk,LEG,2017,Szczecin,4,Ekstraklasa
