ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
25483015,18443374,77100366,YKS,
20040893,24283626,77100366,YCS,
85312672,56799050,77100366,YCS,
51347262,18443374,42322105,YKS,
9362454,24283626,42322105,YCS,
94428566,56799050,42322105,YCS,
53788236,24283626,73972099,YCS,
89657293,56799050,73972099,YCS,
77777508,11120520,46476906,PGR,
71977773,96789971,46476906,DZY,
3107205,9574951,46476906,SZT,
53535913,11120520,34786669,PGR,
38974377,96789971,34786669,DZY,
90819862,9574951,34786669,SZT,
85020096,24283626,16861691,YCS,
62966316,9574951,16861691,OKZ,
52064932,24283626,52984811,YCS,
8340038,9574951,52984811,OKZ,
78516895,24283626,85657695,YCS,
51662740,9574951,85657695,OKZ,
21945599,24283626,85326506,YCS,
24317287,9574951,85326506,OKZ,
92677390,22785032,76884717,OKZ,
15898698,71589137,76884717,LEG,
50462228,96789971,76884717,DZY,
20299760,24283626,76884717,YCS,
67032202,69935946,76884717,OKZ,
76239429,71589137,42903369,LEG,
35339260,96789971,42903369,DZY,
54047366,24283626,42903369,YCS,
81567902,9574951,42903369,OKZ,
68837502,69935946,42903369,OKZ,
77322666,71589137,79990660,LEG,
9030509,96789971,79990660,DZY,
50179374,24283626,79990660,YCS,
30607766,9574951,79990660,OKZ,
6545754,69935946,79990660,OKZ,
13248866,71589137,23503367,LEG,
77551023,96789971,23503367,DZY,
60077643,24283626,23503367,YCS,
99396663,873413,23503367,YCS,
3235994,9574951,23503367,OKZ,
48321193,69935946,23503367,OKZ,
16465453,21665175,56840754,OKZ,
43291121,22785032,99194464,YCG,
91470359,71589137,56840754,LEG,
86898806,11120520,99194464,YCG,
54228907,96789971,56840754,DZY,
57575919,13647562,56840754,LEG,
42122832,24283626,56840754,YCS,
91717993,873413,56840754,YCS,
57026645,69935946,56840754,OKZ,
72611655,21665175,81519758,OKZ,
20415778,22785032,90193164,YCG,
49711745,71589137,81519758,LEG,
77099130,11120520,90193164,YCG,
5484830,96789971,81519758,DZY,
4562773,13647562,81519758,LEG,
33067551,24283626,81519758,YCS,
18283368,873413,81519758,YCS,
3852138,56799050,90193164,YKP,
3123252,69935946,81519758,OKZ,
3328139,21665175,40323829,OKZ,
9984473,22785032,39885461,YCG,
49604909,71589137,40323829,LEG,
1329000,96789971,40323829,DZY,
36301002,13647562,40323829,LEG,
17171319,24283626,40323829,YCS,
5888938,873413,40323829,YCS,
59552461,56799050,39885461,YKP,
45709900,9574951,40323829,DZY,
57461634,69935946,40323829,OKZ,
29565605,21665175,27131848,OKZ,
16451028,22785032,16400118,YCG,
59244021,71589137,27131848,LEG,
1167447,96789971,27131848,DZY,
80758681,13647562,27131848,LEG,
42520893,24283626,27131848,YCS,
27240530,75356731,27131848,JKM,
82332069,873413,27131848,YCS,
44481887,56799050,16400118,YKP,
77853246,69935946,27131848,OKZ,
18045020,21665175,79103275,OKZ,
50009170,71589137,79103275,LEG,
252042,15603428,79103275,YCG,
59023814,96789971,79103275,DZY,
42591077,13647562,79103275,LEG,
36086519,24449860,96787646,SPO,
70005771,24283626,79103275,YCS,
82162219,873413,79103275,YCS,
71279431,56799050,79103275,YKP,
10746783,69935946,79103275,OKZ,
59377195,21665175,11291612,OKZ,
58868811,71589137,11291612,LEG,
21764213,37577452,61637084,PGR,
96153101,15603428,11291612,YCG,
36162185,96789971,11291612,DZY,
80903655,13647562,11291612,LEG,
47893888,24449860,61637084,SPO,
26708163,24283626,11291612,YCS,
76229974,873413,11291612,YCS,
86436388,56799050,11291612,YKP,
3241667,69935946,11291612,OKZ,
39962592,65824952,48680673,YCS,
51742262,71589137,48680673,LEG,
85870471,15603428,48680673,YCG,
40567280,96789971,48680673,DZY,
1867794,13647562,48680673,LEG,
16223452,24449860,11173302,SPO,
37854518,24283626,48680673,YCS,
70645342,873413,48680673,YCS,
320454,56799050,48680673,YKP,
26763539,69935946,48680673,OKZ,
9205563,22785032,56595466,PGR,
25358016,65824952,78707344,YCS,
57686954,71589137,78707344,LEG,
22078143,15603428,78707344,YCG,
68094747,96789971,78707344,DZY,
47195829,13647562,78707344,LEG,
93061889,24449860,56595466,SPO,
59356085,24283626,78707344,YCS,
37481209,67917096,56595466,PGR,
81899284,873413,78707344,YCS,
40008262,56799050,78707344,YKP,
25132123,9574951,78707344,77R,
49116326,69935946,78707344,OKZ,
59514304,22785032,79772225,GRP,
92642242,11120520,79772225,HRM,
58735992,95999433,79772225,AWF,
39503963,79147169,79772225,KKZ,
73285301,22785032,20201142,GRP,
93651374,65824952,34461511,YCS,
34345692,71589137,34461511,LEG,
21812145,11120520,20201142,HRM,
48763291,15603428,34461511,GIZ,
70429185,13647562,34461511,LEG,
7972023,24449860,34461511,SPO,
73504173,95999433,20201142,AWF,
65886847,24283626,34461511,YCS,
63964769,67917096,34461511,PGR,
58121406,873413,34461511,YCS,
1964682,79147169,20201142,KKZ,
88610495,56799050,34461511,YKP,
79719876,69935946,34461511,OKZ,
28561374,22785032,96613811,GRP,
680601,65824952,53378923,YCS,
30703157,71589137,53378923,LEG,
15487923,11120520,96613811,HRM,
92757543,15603428,53378923,GIZ,
49135140,13647562,53378923,LEG,
44413775,24449860,53378923,SPO,
1567903,95999433,96613811,AWF,
3137395,24283626,53378923,YCS,
33679674,67917096,53378923,PGR,
11433634,873413,53378923,YCS,
36551436,56799050,53378923,YKP,
2011789,69935946,53378923,OKZ,
90538843,22785032,68966834,GRP,
52027032,65824952,16116614,YCS,
9101561,71589137,16116614,LEG,
92545516,15603428,16116614,GIZ,
96228924,13647562,16116614,LEG,
74127879,24449860,16116614,SPO,
59377878,95999433,68966834,AWF,
67933002,24283626,16116614,YCS,
23198762,67917096,16116614,PGR,
82351726,873413,16116614,YCS,
97558461,56799050,16116614,YKP,
61247955,69935946,16116614,OKZ,
33636876,21665175,31071604,RSR,
