ID,regaty,klub,miejsceWRegatach
3734898,99194464,YCG,1
81259948,99194464,YKP,2
23951703,99194464,WOL,3
49126913,99194464,77R,4
2048327,99194464,JSG,5
39136539,99194464,JMZ,6
28320758,99194464,AWF,7
10463185,99194464,POW,8
59923805,99194464,LAS,9
96760404,90193164,YCG,1
37540899,90193164,77R,2
17085955,90193164,YKP,3
94202705,90193164,WOL,4
34109137,90193164,JSG,5
48663615,90193164,AWF,6
63204425,90193164,POW,7
13250069,90193164,JMZ,8
29492988,90193164,LAS,9
44020414,39885461,YCG,1
53844694,39885461,WOL,2
53665875,39885461,77R,3
87731075,39885461,JMZ,4
57776986,39885461,YKP,5
47971207,39885461,JSG,6
29008504,39885461,AWF,7
95096567,39885461,LAS,8
43880585,39885461,POW,9
89092552,16400118,YKP,1
54392376,16400118,YCG,2
3551895,16400118,AWF,3
56495090,16400118,WOL,4
63507251,16400118,JMZ,5
62767106,16400118,77R,6
77415654,16400118,JSG,7
28691706,16400118,LAS,8
11490012,16400118,POW,9
19724168,96787646,YG2,1
83908315,96787646,PJK,2
40994727,96787646,SPO,3
18076477,96787646,JMZ,4
30255641,96787646,PGR,5
53050854,96787646,JSG,6
85026188,96787646,ODY,7
68231776,96787646,LE2,8
1175533,96787646,NAV,9
53979390,96787646,LAS,10
35466446,96787646,GAR,11
50562222,96787646,POW,12
75994989,61637084,SPO,1
24961022,61637084,YG2,2
22312740,61637084,GAR,3
33387109,61637084,PJK,4
50936388,61637084,JSG,5
69671585,61637084,NAV,6
58212422,61637084,PGR,7
59769073,61637084,JMZ,8
2376107,61637084,LAS,9
84854810,61637084,LE2,10
43696699,61637084,ODY,11
14047120,61637084,POW,12
9410334,11173302,YG2,1
86104568,11173302,PGR,2
55638585,11173302,PJK,3
10062518,11173302,GAR,4
95819059,11173302,ODY,5
15606902,11173302,SPO,6
57901268,11173302,JMZ,7
57052708,11173302,JSG,8
78898946,11173302,LAS,9
55444420,11173302,NAV,10
26427762,11173302,LE2,11
12868513,11173302,POW,12
34605872,56595466,YG2,1
47432494,56595466,JMZ,2
29268681,56595466,ODY,3
79765145,56595466,NAV,4
92712344,56595466,GAR,5
26374166,56595466,SPO,6
37476669,56595466,PJK,7
35908488,56595466,JSG,8
75673591,56595466,LAS,9
67946057,56595466,PGR,10
57756701,56595466,LE2,11
23567316,56595466,POW,12
45024239,79772225,WAT,1
93951054,79772225,WRO,2
74121145,79772225,YSZ,3
25060047,79772225,HRM,4
62786289,79772225,AWF,5
81606299,79772225,NAV,6
68463228,79772225,GSP,7
49453046,79772225,NIE,8
63293028,79772225,OCC,9
73348977,79772225,KKZ,10
83173583,79772225,GRP,11
40080117,79772225,AKA,12
35200858,79772225,RBP,13
27533021,79772225,LE2,14
64135203,79772225,ETI,15
28755896,79772225,YS2,16
90701329,79772225,LAS,17
17331136,79772225,POW,18
1381799,20201142,AWF,1
36044280,20201142,WRO,2
55472277,20201142,WAT,3
88014471,20201142,YSZ,4
35826631,20201142,NIE,5
5331252,20201142,GRP,6
68187274,20201142,HRM,7
68539367,20201142,KKZ,8
29717758,20201142,NAV,9
14674956,20201142,YS2,10
95834202,20201142,GSP,11
58504318,20201142,AKA,12
14456541,20201142,LAS,13
24752626,20201142,LE2,14
89000388,20201142,OCC,15
91013778,20201142,ETI,16
86351810,20201142,RBP,17
38034778,20201142,POW,18
51908912,96613811,YSZ,1
74406945,96613811,AWF,2
29676161,96613811,WRO,3
13986778,96613811,WAT,4
82444427,96613811,NAV,5
77468727,96613811,HRM,6
18841293,96613811,LE2,7
90981786,96613811,NIE,8
7845535,96613811,LAS,9
99076088,96613811,GSP,10
92917692,96613811,GRP,11
82107127,96613811,YS2,12
90601191,96613811,KKZ,13
94882436,96613811,AKA,14
11124458,96613811,ETI,15
15625876,96613811,OCC,16
3150690,96613811,RBP,17
60701625,96613811,POW,18
34796410,68966834,WAT,1
