ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,WynikWRegatach,Trening
,4400026,32915456,SZT,,
,75715925,32915456,SZT,,
,51135775,32915456,SZT,,
,32387267,32915456,SZT,,
,4400026,8389469,SZT,,
,75715925,8389469,SZT,,
,51135775,8389469,SZT,,
,80981802,8389469,SZT,,
,4400026,16432618,SZT,,
,51135775,16432618,SZT,,
,75715925,16432618,SZT,,
,70430857,16432618,SZT,,
,73659598,16432618,SZT,,
,52636159,32915456,ISK,,
,12556542,32915456,ISK,,
,45152375,32915456,ISK,,
,21888842,32915456,ISK,,
,44653036,32915456,ISK,,
,72268290,8389469,ISK,,
,36451684,8389469,ISK,,
,37387840,8389469,ISK,,
,44653036,8389469,ISK,,
,777080,16432618,ISK,,
,44653036,16432618,ISK,,
,61276643,16432618,ISK,,
,72268290,16432618,ISK,,
,96269851,16432618,ISK,,
,91863587,32915456,OKZ,,
,69620680,32915456,OKZ,,
,57215166,32915456,OKZ,,
,21214499,32915456,OKZ,,
,91863587,8389469,OKZ,,
,69620680,8389469,OKZ,,
,57215166,8389469,OKZ,,
,68171968,8389469,OKZ,,
,12556542,8389469,OKZ,,
,91863587,16432618,OKZ,,
,57215166,16432618,OKZ,,
,21214499,16432618,OKZ,,
,74344772,16432618,OKZ,,
,86467729,32915456,NIE,,
,86467729,8389469,NIE,,
,69817650,8389469,NIE,,
,1644879,8389469,NIE,,
,278144,8389469,NIE,,
,86467729,16432618,NIE,,
,69817650,16432618,NIE,,
,1644879,16432618,NIE,,
,278144,16432618,NIE,,
,45949861,32915456,SLA,,
,54987655,32915456,SLA,,
,13642507,32915456,SLA,,
,46004647,32915456,SLA,,
,46004647,8389469,SLA,,
,54987655,8389469,SLA,,
,13642507,8389469,SLA,,
,45949861,8389469,SLA,,
,94551978,16432618,SLA,,
,64256891,16432618,SLA,,
,40654899,16432618,SLA,,
,52677651,16432618,SLA,,
,29990326,32915456,GAR,,
,64830763,32915456,GAR,,
,56072477,32915456,GAR,,
,72602300,32915456,GAR,,
,18250325,8389469,GAR,,
,72602300,8389469,GAR,,
,29990326,8389469,GAR,,
,64830763,8389469,GAR,,
,72602300,16432618,GAR,,
,64830763,16432618,GAR,,
,56072477,16432618,GAR,,
,4101856,16432618,GAR,,
,18250325,16432618,GAR,,
,75356731,32915456,YCB,,
,12532232,32915456,YCB,,
,35352911,32915456,YCB,,
,2211564,32915456,YCB,,
,75356731,8389469,YCB,,
,12532232,8389469,YCB,,
,35352911,8389469,YCB,,
,2211564,8389469,YCB,,
,35352911,16432618,YCB,,
,75356731,16432618,YCB,,
,2211564,16432618,YCB,,
,12532232,16432618,YCB,,
,34666788,32915456,NAV,,
,79939894,32915456,NAV,,
,33362571,8389469,NAV,,
,69220255,8389469,NAV,,
,24614586,8389469,NAV,,
,40617772,8389469,NAV,,
,40617772,16432618,NAV,,
,18000868,16432618,NAV,,
,24614586,16432618,NAV,,
,69220255,16432618,NAV,,
,78820173,32915456,JSG,,
,80272718,32915456,JSG,,
,67888989,32915456,JSG,,
,2508201,32915456,JSG,,
,95297254,32915456,JSG,,
,78820173,8389469,JSG,,
,80272718,8389469,JSG,,
,67888989,8389469,JSG,,
,21252972,8389469,JSG,,
,95297254,8389469,JSG,,
,78820173,16432618,JSG,,
,80272718,16432618,JSG,,
,67888989,16432618,JSG,,
,95297254,16432618,JSG,,
,2508201,16432618,JSG,,
,36667778,32915456,PJK,,
,5319081,32915456,PJK,,
,9194338,32915456,PJK,,
,66644175,32915456,PJK,,
,13277430,8389469,PJK,,
,66644175,8389469,PJK,,
,9194338,8389469,PJK,,
,36667778,8389469,PJK,,
,36667778,16432618,PJK,,
,9194338,16432618,PJK,,
,22978926,16432618,PJK,,
,11582532,16432618,PJK,,
,55499159,32915456,YS2,,
,75895759,32915456,YS2,,
,68743161,32915456,YS2,,
,808629,32915456,YS2,,
,73784029,8389469,YS2,,
,75895759,8389469,YS2,,
,68743161,8389469,YS2,,
,808629,8389469,YS2,,
,55499159,16432618,YS2,,
,68743161,16432618,YS2,,
,75895759,16432618,YS2,,
,79342556,16432618,YS2,,
,36327577,32915456,ODY,,
,74099061,32915456,ODY,,
,55009869,32915456,ODY,,
,21686906,32915456,ODY,,
,21686906,16432618,ODY,,
,55009869,16432618,ODY,,
,36327577,16432618,ODY,,
,88412954,16432618,ODY,,
,71770689,32915456,HAL,,
,5473020,32915456,HAL,,
,29400420,32915456,HAL,,
,64535522,32915456,HAL,,
,82130456,32915456,HAL,,
,22668771,32915456,HAL,,
,71770689,8389469,HAL,,
,5473020,8389469,HAL,,
,29400420,8389469,HAL,,
,64535522,8389469,HAL,,
,71770689,16432618,HAL,,
,64535522,16432618,HAL,,
,29400420,16432618,HAL,,
,22668771,16432618,HAL,,
,5473020,16432618,HAL,,
,9574951,32915456,ONB,,
,32257615,32915456,ONB,,
,10463259,32915456,ONB,,
,86471428,32915456,ONB,,
,34286614,32915456,ONB,,
,9574951,8389469,ONB,,
,32257615,8389469,ONB,,
,10463259,8389469,ONB,,
,34286614,8389469,ONB,,
,32257615,16432618,ONB,,
,9574951,16432618,ONB,,
,10463259,16432618,ONB,,
,34286614,16432618,ONB,,
,42855232,16432618,ONB,,
,50158144,8389469,MEC,,
,56573294,8389469,MEC,,
,77066399,8389469,MEC,,
,30063637,8389469,MEC,,
,52924222,8389469,MEC,,
,52924222,16432618,MEC,,
,45454244,16432618,MEC,,
,50158144,16432618,MEC,,
,56573294,16432618,MEC,,
,77066399,16432618,MEC,,
,52636159,32915456,BSA,,
,12556542,32915456,BSA,,
,45152375,32915456,BSA,,
,21888842,32915456,BSA,,
,52636159,8389469,BSA,,
,22260089,8389469,BSA,,
,45152375,8389469,BSA,,
,21888842,8389469,BSA,,
,21031157,8389469,BSA,,
,52636159,16432618,BSA,,
,45152375,16432618,BSA,,
,42113934,16432618,BSA,,
,21888842,16432618,BSA,,
,22260089,16432618,BSA,,
,90576417,32915456,ETI,,
,13869028,32915456,ETI,,
,62400020,32915456,ETI,,
,94116342,32915456,ETI,,
,57978966,8389469,ETI,,
,13869028,8389469,ETI,,
,62400020,8389469,ETI,,
,94116342,8389469,ETI,,
,90576417,16432618,ETI,,
,13869028,16432618,ETI,,
,62400020,16432618,ETI,,
,94116342,16432618,ETI,,
,34760913,32915456,YKW,,
,73294576,32915456,YKW,,
,80354773,32915456,YKW,,
,8499409,32915456,YKW,,
,34760913,8389469,YKW,,
,64580098,8389469,YKW,,
,8499409,8389469,YKW,,
,22682175,8389469,YKW,,
,73294576,16432618,YKW,,
,64580098,16432618,YKW,,
,34760913,16432618,YKW,,
,8499409,16432618,YKW,,
