ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,WynikWRegatach,Trening
,43188873,9664111,YCG,,
,11120520,9664111,YCG,,
,66922321,9664111,YCG,,
,56650447,9664111,YCG,,
,56650447,70902597,YCG,,
,43188873,70902597,YCG,,
,66922321,70902597,YCG,,
,11120520,70902597,YCG,,
,56650447,94367801,YCG,,
,66922321,94367801,YCG,,
,43188873,94367801,YCG,,
,11120520,94367801,YCG,,
,8752163,74940339,YCG,,
,43188873,74940339,YCG,,
,66922321,74940339,YCG,,
,11120520,74940339,YCG,,
,37013631,74940339,YCG,,
,80560727,9664111,POG,,
,85974381,9664111,POG,,
,8649496,9664111,POG,,
,9824398,9664111,POG,,
,80560727,70902597,POG,,
,21737312,70902597,POG,,
,8649496,70902597,POG,,
,45905168,70902597,POG,,
,80560727,94367801,POG,,
,8304211,94367801,POG,,
,21737312,94367801,POG,,
,45905168,94367801,POG,,
,28164958,94367801,POG,,
,80560727,74940339,POG,,
,21737312,74940339,POG,,
,8649496,74940339,POG,,
,45905168,74940339,POG,,
,22505841,74940339,POG,,
,90931025,9664111,YCS,,
,47496297,9664111,YCS,,
,15897980,9664111,YCS,,
,24283626,9664111,YCS,,
,47499738,70902597,YCS,,
,47496297,70902597,YCS,,
,24283626,70902597,YCS,,
,15897980,70902597,YCS,,
,47499738,94367801,YCS,,
,24283626,94367801,YCS,,
,47496297,94367801,YCS,,
,15897980,94367801,YCS,,
,47499738,74940339,YCS,,
,47496297,74940339,YCS,,
,24283626,74940339,YCS,,
,15897980,74940339,YCS,,
,43178531,9664111,YKS,,
,69999258,9664111,YKS,,
,84819929,9664111,YKS,,
,27014000,9664111,YKS,,
,43178531,70902597,YKS,,
,37013631,70902597,YKS,,
,42447083,70902597,YKS,,
,84819929,70902597,YKS,,
,43178531,94367801,YKS,,
,84819929,94367801,YKS,,
,27014000,94367801,YKS,,
,69999258,94367801,YKS,,
,43178531,74940339,YKS,,
,84819929,74940339,YKS,,
,69999258,74940339,YKS,,
,27014000,74940339,YKS,,
,26079844,9664111,YKP,,
,92539064,9664111,YKP,,
,16925860,9664111,YKP,,
,44809190,9664111,YKP,,
,26079844,70902597,YKP,,
,69076610,70902597,YKP,,
,92539064,70902597,YKP,,
,56799050,70902597,YKP,,
,56799050,94367801,YKP,,
,69076610,94367801,YKP,,
,92539064,94367801,YKP,,
,53485877,94367801,YKP,,
,12724186,94367801,YKP,,
,44809190,74940339,YKP,,
,16925860,74940339,YKP,,
,26079844,74940339,YKP,,
,40519863,74940339,YKP,,
,61838003,9664111,WAT,,
,90482603,9664111,WAT,,
,17046182,9664111,WAT,,
,57241578,9664111,WAT,,
,61838003,70902597,WAT,,
,17046182,70902597,WAT,,
,57241578,70902597,WAT,,
,90482603,70902597,WAT,,
,61838003,94367801,WAT,,
,17046182,94367801,WAT,,
,57241578,94367801,WAT,,
,90482603,94367801,WAT,,
,61838003,74940339,WAT,,
,57241578,74940339,WAT,,
,90482603,74940339,WAT,,
,5797727,74940339,WAT,,
,50933544,9664111,WRO,,
,48092005,9664111,WRO,,
,21913805,9664111,WRO,,
,31922204,9664111,WRO,,
,46299874,9664111,WRO,,
,50933544,70902597,WRO,,
,48092005,70902597,WRO,,
,21913805,70902597,WRO,,
,33305205,70902597,WRO,,
,50933544,94367801,WRO,,
,48092005,94367801,WRO,,
,21913805,94367801,WRO,,
,95849184,94367801,WRO,,
,50933544,74940339,WRO,,
,48092005,74940339,WRO,,
,21913805,74940339,WRO,,
,33305205,74940339,WRO,,
