,Zawodnik,Klub,Runda
0,Julia Szmit,SZT,1
1,Julia Oleksiuk,SZT,1
2,Agnieszka Łapińska,SZT,1
3,Weronika Sawicka,SZT,1
6,Julia Szmit,SZT,2
7,Julia Oleksiuk,SZT,2
8,Agnieszka Łapińska,SZT,2
9,Oliwia Laskowska,SZT,2
12,Julia Szmit,SZT,3
13,Agnieszka Łapińska,SZT,3
14,Julia Oleksiuk,SZT,3
15,Szymon Oleksiuk,SZT,3
16,Wiktoria Wróblewska,SZT,3
17,Jakub Wiedeheft,ISK,1
18,Dominik Janowczyk,ISK,1
19,Piotr Kurek,ISK,1
20,Szymon Janiak,ISK,1
21,Maciek Sapiejka,ISK,1
23,Jan Talaśka,ISK,2
24,Katarzyna Barabasz,ISK,2
25,Adam Kreft,ISK,2
26,Maciek Sapiejka,ISK,2
29,Kasia Barabasz,ISK,3
30,Maciek Sapiejka,ISK,3
31,Adam Krefft,ISK,3
32,Jan Talaśka,ISK,3
33,Ireneusz Kamiński,ISK,3
34,Antonina Janowczyk,OKZ,1
35,Maciej Goździk,OKZ,1
36,Bartosz Neugebauer,OKZ,1
37,Jakub Orzoł,OKZ,1
40,Antonina Janowczyk,OKZ,2
41,Maciej Goździk,OKZ,2
42,Bartosz Neugebauer,OKZ,2
43,Robert Ćwikła,OKZ,2
44,Dominik Janowczyk,OKZ,2
46,Antonina Janowczyk,OKZ,3
47,Bartosz Neugebauer,OKZ,3
48,Jakub Orzoł,OKZ,3
49,Dawid Rynkiewicz,OKZ,3
51,Piotr Kotwicki,NIE,1
57,Piotr Kotwicki,NIE,2
58,Remigiusz Horodyski,NIE,2
59,Filip Makowski,NIE,2
60,Marek Borkowski,NIE,2
63,Piotr Kotwicki,NIE,3
64,Remigiusz Horodyski,NIE,3
65,Filip Makowski,NIE,3
66,Marek Borkowski,NIE,3
68,Piotr Mańczak,SLA,1
69,Kinga Łoboda,SLA,1
70,Marta Gwiazda,SLA,1
71,Sebastian Haraś,SLA,1
74,Sebastian Haraś,SLA,2
75,Kinga Łoboda,SLA,2
