M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, JEZ,Yacht Club Jeziorak,1,1,1,1,6,1,2,7 (OCS),1,1,2,2,2,28
2, OKZ,Olsztynski Klub Zeglarski,4,3,4,1,2,1,1,1,2,3,1,1,4,28
3, POG,SEJK Pogon Szczecin,1,1,2,4,5,3,1,3,7 (OCS),6,6,1,1,41
4, JK2,Jacht Klub Gryf Gdynia 2,5,4,2,4,1,3,5,1,2,1,2,6,6,42
5, DZY,PZKS Dzygit Bialystok,2,2,4,2,1,2,5,4,4,6,3,3,4,42
6, YCS,Yacht Club Sopot,5,2,1,7 (OCS),3,6,4,7 (OCS),1,2,1,4,3,46
7, LEG,Legia Warszawa,3,5,5,3,7 (OCS),4,2,3,3,5,4,2,1,47
8, JKM,Jacht Klub Gryf Gdynia,3,3,6,3,3,5,3,5,3,4,3,5,2,48
9, WTZ,Warszawskie Towarzystwo Zeglarskie,2,4,3,6,2,2,7 (DNE),2,6,2,5,5,3,49
10, ODY,Odyssey Sailing Club,6,5,3,2,5,5,4,2,4,3,5,4,6,54
11, YC2,Yacht Club Sopot 2,4,7 (OCS),5,5,4,4,3,6,5,4,4,3,5,59
12, BOL,Sailing Team Boleslawiec,6,6,6,7 (DNF),4,6,6,4,5,5,6,6,5,72
