M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,Σ
1,MOS,MOS Iława,1,,2,,1,1,,1,2,,2,,7 (OCS),,7 (OCS),1,,1,1,,1,,1,,1,1,21
2,YCS,Yacht Club Sopot,,1,4,2,,,1,,1,4,,1,7 (OCS),1,,,1,,2,2,,1,3,1,,,22
3,YKS,YKP Szczecin,5,,,3,3,2,4,,,3,4,,,6,1,2,2,,,1,3,,,2,2,2,33
4,JKW,Jachtklub Wielkopolski Poznań,2,,1,1,,4,,5,,1,1,,3,4,,4,,5,,4,2,,7 (OCS),5,,3,34
5,GOR,KS Górnik Boguszowice,3,4,,6,,,2,2,,2,3,2,,2,,,6,2,,5,4,6,,3,,,40
6,JKM,Jacht Klub Gryf Gdynia,,3,3,,4,7 (OCS),,4,3,,,6,1,,3,5,,3,6,,,3,5,,4,4,47
7,DZY,PŻKS Dźygit Białystok,7 (OCS),2,,4,4,,5,,4,,6,5,,3,4,,3,,4,,5,2,,4,3,,49
8,MUKZ,MUKŻ Bałtyk Mielno,,6,,5,,3,3,3,5,,,4,,5,,6,4,4,3,,,4,,6,,5,55
9,OST,Klub Żeglarski Ostróda,4,,7 (OCS),,2,,7 (OCS),6,,6,5,,4,,2,,5,6,,3,6,,2,,6,,58
10,YKW,YKP Warszawa,,5,5,,6,5,,,6,5,,3,2,,5,3,,,5,6,,5,4,,5,6,59
